,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
79,mrgugalev,vueOnlineShop,mrgugalev/vueOnlineShop,https://github.com/mrgugalev/vueOnlineShop.git,0,0,2,0,525,2
80,lorymore,VueOnlineShop,lorymore/VueOnlineShop,https://github.com/lorymore/VueOnlineShop.git,0,0,0,0,225,2
81,haloleo,VueOnlineShopping,haloleo/VueOnlineShopping,https://github.com/haloleo/VueOnlineShopping.git,0,0,0,68,204,2
82,xmenw,VueOnlineShop,xmenw/VueOnlineShop,https://github.com/xmenw/VueOnlineShop.git,1,1,21,0,5772,2
83,francoisblin,online_shop_vueJs,francoisblin/online_shop_vueJs,https://github.com/francoisblin/online_shop_vueJs.git,0,1,1,0,474,2
84,qiaoliang,shop-online-vue3,qiaoliang/shop-online-vue3,https://github.com/qiaoliang/shop-online-vue3.git,0,0,0,0,2354,2
85,ultramarichka,Vue3-online-shop,ultramarichka/Vue3-online-shop,https://github.com/ultramarichka/Vue3-online-shop.git,1,0,0,68,257,2
86,Gvenvivar25,vue3-online-shop,Gvenvivar25/vue3-online-shop,https://github.com/Gvenvivar25/vue3-online-shop.git,0,0,0,0,217,2
87,MonaLizaOverdrivee,vue3-online-shop,MonaLizaOverdrivee/vue3-online-shop,https://github.com/MonaLizaOverdrivee/vue3-online-shop.git,0,1,0,0,621,2
88,kirigaikabuto,VueOnlineShop,kirigaikabuto/VueOnlineShop,https://github.com/kirigaikabuto/VueOnlineShop.git,0,0,11,0,1070,2
89,Mxuan-831home,OnlineShoppingMall,Mxuan-831home/OnlineShoppingMall,https://github.com/Mxuan-831home/OnlineShoppingMall.git,0,0,1,8,46,2
90,justborney,vue_cli_online_shop,justborney/vue_cli_online_shop,https://github.com/justborney/vue_cli_online_shop.git,1,0,0,15,499,2
91,antjazldev,OnlineShopping,antjazldev/OnlineShopping,https://github.com/antjazldev/OnlineShopping.git,0,0,28,52,3884,2
92,T882200,vueshop,T882200/vueshop,https://github.com/T882200/vueshop.git,1,0,0,34,105,2
93,iRobbKing,online_shop,iRobbKing/online_shop,https://github.com/iRobbKing/online_shop.git,0,0,0,19,497,2
94,Inffinite,Online-Shop,Inffinite/Online-Shop,https://github.com/Inffinite/Online-Shop.git,0,1,0,46,1083,2
95,HalShaw,Online-shop,HalShaw/Online-shop,https://github.com/HalShaw/Online-shop.git,1,0,3,29,605,2
96,Rusl10,online-shop,Rusl10/online-shop,https://github.com/Rusl10/online-shop.git,0,0,0,29,374,2
97,ALPHA-DEV-MYANMAR,online-shopping,ALPHA-DEV-MYANMAR/online-shopping,https://github.com/ALPHA-DEV-MYANMAR/online-shopping.git,0,0,0,35,288,2
98,VladKurluk,Online-vue-shop,VladKurluk/Online-vue-shop,https://github.com/VladKurluk/Online-vue-shop.git,0,0,0,29,126,2
99,IvanValdesF,OnlineShopVueNodeJS,IvanValdesF/OnlineShopVueNodeJS,https://github.com/IvanValdesF/OnlineShopVueNodeJS.git,0,0,0,0,231,2
100,MoiOcanas,Vue-shop,MoiOcanas/Vue-shop,https://github.com/MoiOcanas/Vue-shop.git,1,0,0,29,225,2
101,gerasem,vue-shopping,gerasem/vue-shopping,https://github.com/gerasem/vue-shopping.git,0,0,0,27,899,2
102,aririfani,vue-shop,aririfani/vue-shop,https://github.com/aririfani/vue-shop.git,1,0,0,31,103,2
103,rob-digital,Vue---Online-Shop-Imitation,rob-digital/Vue---Online-Shop-Imitation,https://github.com/rob-digital/Vue---Online-Shop-Imitation.git,1,0,0,14,514,2
104,gxhao2020,vue-online-shop-frontend,gxhao2020/vue-online-shop-frontend,https://github.com/gxhao2020/vue-online-shop-frontend.git,1,0,0,20,718,2
105,lihui-coder,vue-shop-online,lihui-coder/vue-shop-online,https://github.com/lihui-coder/vue-shop-online.git,0,0,0,18,114,2
106,yuminghe,vue2-online-shop-taobao,yuminghe/vue2-online-shop-taobao,https://github.com/yuminghe/vue2-online-shop-taobao.git,0,0,0,6,434,2
107,Dennis-Katilov,Node_VueJS_Online_Shop,Dennis-Katilov/Node_VueJS_Online_Shop,https://github.com/Dennis-Katilov/Node_VueJS_Online_Shop.git,0,0,0,0,492,2
108,lifechat,Vue3-PyOnlineShop,lifechat/Vue3-PyOnlineShop,https://github.com/lifechat/Vue3-PyOnlineShop.git,1,0,0,23,17229,2
109,vilmisv,Vue-js-vuex-online-shop-,vilmisv/Vue-js-vuex-online-shop-,https://github.com/vilmisv/Vue-js-vuex-online-shop-.git,0,0,0,0,137,2
110,zhanghuan570436048,onlineShoppingMall,zhanghuan570436048/onlineShoppingMall,https://github.com/zhanghuan570436048/onlineShoppingMall.git,1,1,0,12,652,2
111,Benqqa,tutorial_online_shop,Benqqa/tutorial_online_shop,https://github.com/Benqqa/tutorial_online_shop.git,0,0,0,38,252,2
112,gaoyuan1223m,Mi-Mock-Online-Shopping,gaoyuan1223m/Mi-Mock-Online-Shopping,https://github.com/gaoyuan1223m/Mi-Mock-Online-Shopping.git,0,1,0,34,31541,2
113,Keringer91,online-shop-app,Keringer91/online-shop-app,https://github.com/Keringer91/online-shop-app.git,0,0,25,37,3366,2
114,ASVVIZIT,vue3-shop-part1,ASVVIZIT/vue3-shop-part1,https://github.com/ASVVIZIT/vue3-shop-part1.git,0,0,0,44,150,2
115,tanght19,eshop,tanght19/eshop,https://github.com/tanght19/eshop.git,1,0,0,30,822,2
116,Inesnribeiro,vue-research-shopping,Inesnribeiro/vue-research-shopping,https://github.com/Inesnribeiro/vue-research-shopping.git,0,0,0,46,347,2
117,Belchenkov,fashion-store-vue,Belchenkov/fashion-store-vue,https://github.com/Belchenkov/fashion-store-vue.git,0,0,2,45,482,2
118,leandropdmolin,basic-shop-vue,leandropdmolin/basic-shop-vue,https://github.com/leandropdmolin/basic-shop-vue.git,0,0,0,36,131,2
119,Polkagris,E-shop-vuejs,Polkagris/E-shop-vuejs,https://github.com/Polkagris/E-shop-vuejs.git,0,0,0,42,6403,2
120,diegotpereira,vue-loja-firebase,diegotpereira/vue-loja-firebase,https://github.com/diegotpereira/vue-loja-firebase.git,0,0,0,40,1064,2
121,AbdullayevDilshodbek,shopping_with_vuejs,AbdullayevDilshodbek/shopping_with_vuejs,https://github.com/AbdullayevDilshodbek/shopping_with_vuejs.git,0,0,0,38,1048,2
122,jjulianto,online-shop,jjulianto/online-shop,https://github.com/jjulianto/online-shop.git,0,0,5,116,2861,2
123,bezzyck,Vue_online_shop,bezzyck/Vue_online_shop,https://github.com/bezzyck/Vue_online_shop.git,0,0,0,22,483,2
124,dm1tr,vue-simple-online-shop,dm1tr/vue-simple-online-shop,https://github.com/dm1tr/vue-simple-online-shop.git,1,1,2,32,179,2
125,0522-coulds,Vue-Online-Shopping-Mall,0522-coulds/Vue-Online-Shopping-Mall,https://github.com/0522-coulds/Vue-Online-Shopping-Mall.git,1,0,0,7,5243,2
126,Aucdmn,OnlineShopping,Aucdmn/OnlineShopping,https://github.com/Aucdmn/OnlineShopping.git,1,0,0,26,147,2
127,cvEngineer-hh,shopOnline,cvEngineer-hh/shopOnline,https://github.com/cvEngineer-hh/shopOnline.git,0,1,0,16,392,2
128,bagasamri,shopbagas,bagasamri/shopbagas,https://github.com/bagasamri/shopbagas.git,0,0,21,42,610,2
129,xushnudbek20,online-shop-vue,xushnudbek20/online-shop-vue,https://github.com/xushnudbek20/online-shop-vue.git,0,0,3,0,229,2
130,Aleksandrov91,online-shop-with-vue,Aleksandrov91/online-shop-with-vue,https://github.com/Aleksandrov91/online-shop-with-vue.git,0,0,0,34,566,2
131,runardvl,vuejs-online-shop,runardvl/vuejs-online-shop,https://github.com/runardvl/vuejs-online-shop.git,0,0,1,59,604,2
132,blessed-tawanda,vue-online-shop-design,blessed-tawanda/vue-online-shop-design,https://github.com/blessed-tawanda/vue-online-shop-design.git,0,0,22,87,3159,2
133,liwei3380,vue-online-shop-backend,liwei3380/vue-online-shop-backend,https://github.com/liwei3380/vue-online-shop-backend.git,1,0,0,0,4,2
134,irinaWinter,online-shop-vue,irinaWinter/online-shop-vue,https://github.com/irinaWinter/online-shop-vue.git,0,0,0,108,1018,2
135,et20020223,vue-online-shopping,et20020223/vue-online-shopping,https://github.com/et20020223/vue-online-shopping.git,0,0,0,0,161,2
136,Svetlana177,vue_online_shop,Svetlana177/vue_online_shop,https://github.com/Svetlana177/vue_online_shop.git,0,0,0,0,222,2
137,theodorerlax,online_shop-vue,theodorerlax/online_shop-vue,https://github.com/theodorerlax/online_shop-vue.git,0,0,0,0,3542,2
138,Anna-Ilina-Vn,vue_online_shop,Anna-Ilina-Vn/vue_online_shop,https://github.com/Anna-Ilina-Vn/vue_online_shop.git,0,0,0,34,69432,2
139,lmbrjk,vue-online-shop,lmbrjk/vue-online-shop,https://github.com/lmbrjk/vue-online-shop.git,0,0,0,0,1484,2
140,liubrook,vue-online-shop,liubrook/vue-online-shop,https://github.com/liubrook/vue-online-shop.git,1,0,0,24,742,2
141,gandipapa,vue-online-shop-frontend,gandipapa/vue-online-shop-frontend,https://github.com/gandipapa/vue-online-shop-frontend.git,0,0,0,0,195,2
142,AlexanderBredun,best_online_shop_vue,AlexanderBredun/best_online_shop_vue,https://github.com/AlexanderBredun/best_online_shop_vue.git,0,0,0,0,1797,2
143,gxhao2020,vue-online-shop-backend,gxhao2020/vue-online-shop-backend,https://github.com/gxhao2020/vue-online-shop-backend.git,1,0,0,23,26,2
144,Aleksandr1945,online_shop_vue,Aleksandr1945/online_shop_vue,https://github.com/Aleksandr1945/online_shop_vue.git,0,0,0,0,419,2
145,Arrrrray,vue-online-shop-backend,Arrrrray/vue-online-shop-backend,https://github.com/Arrrrray/vue-online-shop-backend.git,1,0,2,32,39,2
146,cheneyg916,vue-online-shop-backend,cheneyg916/vue-online-shop-backend,https://github.com/cheneyg916/vue-online-shop-backend.git,1,0,0,26,4,2
147,liutkevych,vue-online-shop,liutkevych/vue-online-shop,https://github.com/liutkevych/vue-online-shop.git,1,0,0,0,315,2
148,IharDubadzelau,vuejs-online-shop,IharDubadzelau/vuejs-online-shop,https://github.com/IharDubadzelau/vuejs-online-shop.git,0,0,23,0,3591,2
149,melhemm,Vue-online-shop,melhemm/Vue-online-shop,https://github.com/melhemm/Vue-online-shop.git,0,0,0,0,831,2
150,xiaobaihena,vue-online-shop-frontend,xiaobaihena/vue-online-shop-frontend,https://github.com/xiaobaihena/vue-online-shop-frontend.git,0,0,0,0,250,2
151,ItmoSpace,learn-vue-online-shop,ItmoSpace/learn-vue-online-shop,https://github.com/ItmoSpace/learn-vue-online-shop.git,0,0,0,0,214,2
152,jay6697117,vue-online-shop-frontend,jay6697117/vue-online-shop-frontend,https://github.com/jay6697117/vue-online-shop-frontend.git,1,0,0,0,215,2
153,Shirokuiu,online-shop-vue,Shirokuiu/online-shop-vue,https://github.com/Shirokuiu/online-shop-vue.git,0,0,0,0,4090,2
154,baikhonov,vue_online_shop,baikhonov/vue_online_shop,https://github.com/baikhonov/vue_online_shop.git,0,0,0,0,854,2
155,elysium88,vue-online-shop-backend,elysium88/vue-online-shop-backend,https://github.com/elysium88/vue-online-shop-backend.git,1,0,1,0,21,2
156,maidacencoanastasia,online-shop-vue,maidacencoanastasia/online-shop-vue,https://github.com/maidacencoanastasia/online-shop-vue.git,0,0,0,0,2496,2
157,vitshevtsov,vue-online-shop,vitshevtsov/vue-online-shop,https://github.com/vitshevtsov/vue-online-shop.git,0,0,0,0,3679,2
158,Honglin-Lu,Online_Shop_Frontend_Vue,Honglin-Lu/Online_Shop_Frontend_Vue,https://github.com/Honglin-Lu/Online_Shop_Frontend_Vue.git,1,0,0,116,7716,2
159,michalmullen,vue-online-shop,michalmullen/vue-online-shop,https://github.com/michalmullen/vue-online-shop.git,0,0,24,0,848,2
160,CassielLee,vue-online-shop-frontend,CassielLee/vue-online-shop-frontend,https://github.com/CassielLee/vue-online-shop-frontend.git,0,0,16,0,1821,2
161,SlavaOdinokov,vue-online-shop,SlavaOdinokov/vue-online-shop,https://github.com/SlavaOdinokov/vue-online-shop.git,0,0,0,0,224,2
162,Aaron-LHR,Online-shopping-mall-vue,Aaron-LHR/Online-shopping-mall-vue,https://github.com/Aaron-LHR/Online-shopping-mall-vue.git,0,0,0,0,28474,2
163,dmitrKuznetsov,vue_online_shop,dmitrKuznetsov/vue_online_shop,https://github.com/dmitrKuznetsov/vue_online_shop.git,0,0,0,0,263,2
164,thawzindev,online-shop-vue,thawzindev/online-shop-vue,https://github.com/thawzindev/online-shop-vue.git,0,0,25,0,2916,2
165,yijuw,vue-online-shop,yijuw/vue-online-shop,https://github.com/yijuw/vue-online-shop.git,0,0,16,0,4316,2
166,Ramunas-Bkr,tutorial-online-shop-vue,Ramunas-Bkr/tutorial-online-shop-vue,https://github.com/Ramunas-Bkr/tutorial-online-shop-vue.git,0,0,0,0,375,2
167,YanPershay,Vue.js-Online-Shop,YanPershay/Vue.js-Online-Shop,https://github.com/YanPershay/Vue.js-Online-Shop.git,0,0,0,0,6681,2
168,Gutu-Ivan,Online_Shop-Vue,Gutu-Ivan/Online_Shop-Vue,https://github.com/Gutu-Ivan/Online_Shop-Vue.git,0,0,0,0,1446,2
169,MrVelasquezz,vue-online-shop,MrVelasquezz/vue-online-shop,https://github.com/MrVelasquezz/vue-online-shop.git,0,0,0,76,1996,2
170,Arrrrray,vue-online-shop-frontend,Arrrrray/vue-online-shop-frontend,https://github.com/Arrrrray/vue-online-shop-frontend.git,1,0,14,32,1725,2
171,summerxmf,vue-online-shop,summerxmf/vue-online-shop,https://github.com/summerxmf/vue-online-shop.git,0,0,14,0,2750,2
172,lljoyful,vue_shop_online,lljoyful/vue_shop_online,https://github.com/lljoyful/vue_shop_online.git,1,0,0,0,319,2
173,blackwaterstar,online_shop_vue_admin,blackwaterstar/online_shop_vue_admin,https://github.com/blackwaterstar/online_shop_vue_admin.git,1,0,0,0,472,2
174,kkarapetyan2012,VUEJS_Online-shop,kkarapetyan2012/VUEJS_Online-shop,https://github.com/kkarapetyan2012/VUEJS_Online-shop.git,0,0,15,0,7433,2
175,369997,online-shop-VUE,369997/online-shop-VUE,https://github.com/369997/online-shop-VUE.git,0,0,20,34,5416,2
176,AndrewProkopenko,vue-online-shop,AndrewProkopenko/vue-online-shop,https://github.com/AndrewProkopenko/vue-online-shop.git,0,0,0,0,191,2
177,MojganNasirian,vue-online-shop,MojganNasirian/vue-online-shop,https://github.com/MojganNasirian/vue-online-shop.git,0,0,0,0,152,2
178,CatherinaG,my_online_shop_Vue,CatherinaG/my_online_shop_Vue,https://github.com/CatherinaG/my_online_shop_Vue.git,0,0,0,0,1911,2
179,af4n,vue-online-shop,af4n/vue-online-shop,https://github.com/af4n/vue-online-shop.git,0,0,0,0,758,2
180,valeriilogvin,vue-online-shop,valeriilogvin/vue-online-shop,https://github.com/valeriilogvin/vue-online-shop.git,0,0,0,0,211,2
181,anatoliy5035,Vue.js_online_shopping,anatoliy5035/Vue.js_online_shopping,https://github.com/anatoliy5035/Vue.js_online_shopping.git,0,0,0,0,161,2
182,zzzzzjhhhh,vue-online-shop,zzzzzjhhhh/vue-online-shop,https://github.com/zzzzzjhhhh/vue-online-shop.git,1,0,17,0,3725,2
183,chenhui996,Vue-Online-Shop,chenhui996/Vue-Online-Shop,https://github.com/chenhui996/Vue-Online-Shop.git,1,1,21,0,6277,2
184,JunZhenSun,Vue-online-shop,JunZhenSun/Vue-online-shop,https://github.com/JunZhenSun/Vue-online-shop.git,1,0,0,0,3094,2
185,PavelKP,online-shop-vue,PavelKP/online-shop-vue,https://github.com/PavelKP/online-shop-vue.git,0,0,0,0,3666,2
186,BaxtiyorBohodirov,vue-online-shop,BaxtiyorBohodirov/vue-online-shop,https://github.com/BaxtiyorBohodirov/vue-online-shop.git,0,0,0,0,137,2
187,easonxu0908,vue-online-shop,easonxu0908/vue-online-shop,https://github.com/easonxu0908/vue-online-shop.git,0,0,17,0,123447,2
188,Kutloano16,vue-js-online-shop,Kutloano16/vue-js-online-shop,https://github.com/Kutloano16/vue-js-online-shop.git,0,0,0,24,26,2
189,Dyphellia,vue-online-shop,Dyphellia/vue-online-shop,https://github.com/Dyphellia/vue-online-shop.git,0,0,22,0,2957,2
190,AlexandreCln,vue-online-shop,AlexandreCln/vue-online-shop,https://github.com/AlexandreCln/vue-online-shop.git,0,0,0,53,460,2
191,DaryaUdiryakova,online-shop-vue,DaryaUdiryakova/online-shop-vue,https://github.com/DaryaUdiryakova/online-shop-vue.git,0,0,0,0,1830,2
