rank,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
0,parzibyte,e-commerce-angular-node,parzibyte/e-commerce-angular-node,https://github.com/parzibyte/e-commerce-angular-node.git,20,14,20,55,1538,2
1,olenijo,OnlineShopAngular,olenijo/OnlineShopAngular,https://github.com/olenijo/OnlineShopAngular.git,13,0,0,0,2,2
