rank,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
224,nguyenvanthuong0201,ShopOnline_ReactNodeJS,nguyenvanthuong0201/ShopOnline_ReactNodeJS,https://github.com/nguyenvanthuong0201/ShopOnline_ReactNodeJS.git,0,0,0,0,1353,2
225,HMugera,M_tumba,HMugera/M_tumba,https://github.com/HMugera/M_tumba.git,0,0,0,38,1603,2
226,AM-Saad,shop_react,AM-Saad/shop_react,https://github.com/AM-Saad/shop_react.git,0,0,0,29,1618,2
227,FellonOne,react-shop,FellonOne/react-shop,https://github.com/FellonOne/react-shop.git,0,0,0,13,1188,2
228,hartmannieru,react-shop,hartmannieru/react-shop,https://github.com/hartmannieru/react-shop.git,0,0,0,12,795,2
229,PivenFedorIgorevich,Phone-Online-Shop,PivenFedorIgorevich/Phone-Online-Shop,https://github.com/PivenFedorIgorevich/Phone-Online-Shop.git,0,0,14,34,610,2
230,NiloofarAhmari,Online-Shop-Sample-With-React,NiloofarAhmari/Online-Shop-Sample-With-React,https://github.com/NiloofarAhmari/Online-Shop-Sample-With-React.git,0,0,0,29,45158,2
231,NguyenTGBao,My-ReactJS-ShoppingOnline,NguyenTGBao/My-ReactJS-ShoppingOnline,https://github.com/NguyenTGBao/My-ReactJS-ShoppingOnline.git,0,0,16,47,8302,2
232,aloknath1,online-shop-react,aloknath1/online-shop-react,https://github.com/aloknath1/online-shop-react.git,0,0,0,30,400,2
233,Aziaev,exreactshop,Aziaev/exreactshop,https://github.com/Aziaev/exreactshop.git,0,0,0,31,3202,2
234,arturzybin,minions-shop,arturzybin/minions-shop,https://github.com/arturzybin/minions-shop.git,0,0,1,34,2965,2
235,yuankunluo,react-clothing-shop,yuankunluo/react-clothing-shop,https://github.com/yuankunluo/react-clothing-shop.git,0,0,1,28,1277,2
236,Joshmatjjen,jasky-clothing,Joshmatjjen/jasky-clothing,https://github.com/Joshmatjjen/jasky-clothing.git,0,0,6,31,61493,2
237,darshana-perera-97,online-shopping-app-react,darshana-perera-97/online-shopping-app-react,https://github.com/darshana-perera-97/online-shopping-app-react.git,0,0,0,30,1203,2
238,sourena-kazemi,online_shop_project,sourena-kazemi/online_shop_project,https://github.com/sourena-kazemi/online_shop_project.git,0,1,0,31,577,2
239,behnamizadii,crwn-clothing,behnamizadii/crwn-clothing,https://github.com/behnamizadii/crwn-clothing.git,0,0,18,39,7373,2
240,czartek7,MerchStore,czartek7/MerchStore,https://github.com/czartek7/MerchStore.git,0,0,0,28,1536,2
241,Srinivasharidwajk,Online-Shopping-App-FINAL-React,Srinivasharidwajk/Online-Shopping-App-FINAL-React,https://github.com/Srinivasharidwajk/Online-Shopping-App-FINAL-React.git,0,0,0,31,3406,2
242,elham-ya,reactjs-online-store,elham-ya/reactjs-online-store,https://github.com/elham-ya/reactjs-online-store.git,0,0,0,30,584,2
243,jakeredgrave,react-online-shop,jakeredgrave/react-online-shop,https://github.com/jakeredgrave/react-online-shop.git,0,0,0,27,587,2
244,devcharleneg,pc-online-shop,devcharleneg/pc-online-shop,https://github.com/devcharleneg/pc-online-shop.git,0,0,0,26,49,2
245,stanicavuleta,React-Native-shop,stanicavuleta/React-Native-shop,https://github.com/stanicavuleta/React-Native-shop.git,0,0,0,28,109484,2
246,abdkgd,online-barter-shop-frontend,abdkgd/online-barter-shop-frontend,https://github.com/abdkgd/online-barter-shop-frontend.git,0,1,0,30,3763,2
247,AskardGO,online-shop-reactJS,AskardGO/online-shop-reactJS,https://github.com/AskardGO/online-shop-reactJS.git,0,0,1,35,1420,2
248,mohammedahmadi1990,online-shop,mohammedahmadi1990/online-shop,https://github.com/mohammedahmadi1990/online-shop.git,0,1,0,16,502,2
249,PhilippMelnikov,react-shop,PhilippMelnikov/react-shop,https://github.com/PhilippMelnikov/react-shop.git,0,0,0,33,16847,2
250,charles161,Bikerstop-React,charles161/Bikerstop-React,https://github.com/charles161/Bikerstop-React.git,0,0,0,31,43,2
251,hojatde,online-shop,hojatde/online-shop,https://github.com/hojatde/online-shop.git,0,0,0,15,24,2
252,Aleksios22,react-online-shop,Aleksios22/react-online-shop,https://github.com/Aleksios22/react-online-shop.git,0,0,0,27,1160,2
253,1Mehranazizi,CLO-Shop,1Mehranazizi/CLO-Shop,https://github.com/1Mehranazizi/CLO-Shop.git,0,0,0,26,1659,2
254,PedramChegini,online_shop,PedramChegini/online_shop,https://github.com/PedramChegini/online_shop.git,0,0,0,11,353,2
255,bts-developer,react-online-shop,bts-developer/react-online-shop,https://github.com/bts-developer/react-online-shop.git,0,0,1,30,1254,2
256,EdgarBag,online-shop-app,EdgarBag/online-shop-app,https://github.com/EdgarBag/online-shop-app.git,0,0,0,29,1693,2
257,juandcastroj,Amazonas-Shop,juandcastroj/Amazonas-Shop,https://github.com/juandcastroj/Amazonas-Shop.git,0,0,0,29,746,2
258,Tarashchyk,react-redux__MobileShop,Tarashchyk/react-redux__MobileShop,https://github.com/Tarashchyk/react-redux__MobileShop.git,0,0,1,31,1587,2
259,hamidKMB,kmb-clothing,hamidKMB/kmb-clothing,https://github.com/hamidKMB/kmb-clothing.git,0,0,0,31,1604,2
260,lakshmipunati,shopping-app,lakshmipunati/shopping-app,https://github.com/lakshmipunati/shopping-app.git,0,0,0,32,584,2
261,fauzynurn,react-online-shop,fauzynurn/react-online-shop,https://github.com/fauzynurn/react-online-shop.git,0,0,0,35,813,2
262,adkhambitious,maxima-test-task,adkhambitious/maxima-test-task,https://github.com/adkhambitious/maxima-test-task.git,0,0,0,29,323,2
263,spamhws,andersen-react-4,spamhws/andersen-react-4,https://github.com/spamhws/andersen-react-4.git,0,0,0,30,1244,2
264,rainyhuynh,AppShopOnline,rainyhuynh/AppShopOnline,https://github.com/rainyhuynh/AppShopOnline.git,0,0,1,29,2198,2
265,sergeykorolov,PizzaStore,sergeykorolov/PizzaStore,https://github.com/sergeykorolov/PizzaStore.git,0,0,0,26,1559,2
266,leonid9191,shop-project,leonid9191/shop-project,https://github.com/leonid9191/shop-project.git,0,0,0,27,416,2
267,shreejanjoshi,Clothing-Ecom,shreejanjoshi/Clothing-Ecom,https://github.com/shreejanjoshi/Clothing-Ecom.git,0,0,0,29,312,2
268,AlexandruMolete,project-2-online-shop,AlexandruMolete/project-2-online-shop,https://github.com/AlexandruMolete/project-2-online-shop.git,0,0,0,28,186,2
269,edugarver,online-comics-shop,edugarver/online-comics-shop,https://github.com/edugarver/online-comics-shop.git,0,0,0,29,1063,2
270,IoanaBobleaga,project02-react,IoanaBobleaga/project02-react,https://github.com/IoanaBobleaga/project02-react.git,0,0,0,37,169,2
271,mjimenezmartin,crwn-clothing,mjimenezmartin/crwn-clothing,https://github.com/mjimenezmartin/crwn-clothing.git,0,0,0,30,247,2
272,feyzabecerr,ReactMamaDunyasi,feyzabecerr/ReactMamaDunyasi,https://github.com/feyzabecerr/ReactMamaDunyasi.git,0,1,0,55,2598,2
273,dimurajsamuraj,onln-clothing-shop,dimurajsamuraj/onln-clothing-shop,https://github.com/dimurajsamuraj/onln-clothing-shop.git,0,0,2,25,1167,2
274,Claudiu7672,underground,Claudiu7672/underground,https://github.com/Claudiu7672/underground.git,0,0,0,28,1173,2
275,eugbyte,React-OnlineShop,eugbyte/React-OnlineShop,https://github.com/eugbyte/React-OnlineShop.git,0,0,1,32,1100,2
276,dineshvm,Online-Shopping-Cart,dineshvm/Online-Shopping-Cart,https://github.com/dineshvm/Online-Shopping-Cart.git,0,0,0,31,151,2
277,likithsai,online-shopping-react,likithsai/online-shopping-react,https://github.com/likithsai/online-shopping-react.git,0,0,0,30,379,2
278,baesee,reactStudy_shop,baesee/reactStudy_shop,https://github.com/baesee/reactStudy_shop.git,0,0,0,25,508,2
279,XoldpandaX,react-redux-training,XoldpandaX/react-redux-training,https://github.com/XoldpandaX/react-redux-training.git,0,0,0,33,191,2
280,hojatde,online-shop-front,hojatde/online-shop-front,https://github.com/hojatde/online-shop-front.git,0,0,0,5,1089,2
281,zangar-sultanbek,React.js-OnlineShop,zangar-sultanbek/React.js-OnlineShop,https://github.com/zangar-sultanbek/React.js-OnlineShop.git,0,0,0,79,287,2
282,Khepanha,Web-React-Tailwindcss,Khepanha/Web-React-Tailwindcss,https://github.com/Khepanha/Web-React-Tailwindcss.git,0,0,0,32,4525,2
283,xolesteroll,node-react-shop,xolesteroll/node-react-shop,https://github.com/xolesteroll/node-react-shop.git,0,0,0,29,36,2
284,wambua-iv,TS-online_shop,wambua-iv/TS-online_shop,https://github.com/wambua-iv/TS-online_shop.git,0,0,0,61,8559,2
285,AnimeManna,onlineShopReact,AnimeManna/onlineShopReact,https://github.com/AnimeManna/onlineShopReact.git,0,0,0,15,13706,2
286,Zhayr1,OnlineShop-React-Django,Zhayr1/OnlineShop-React-Django,https://github.com/Zhayr1/OnlineShop-React-Django.git,0,0,0,112,866,2
287,Ashkan771010,OnlineShop-React,Ashkan771010/OnlineShop-React,https://github.com/Ashkan771010/OnlineShop-React.git,0,0,0,0,2674,2
288,mrAnd5rs0n,Online-Shop-APP,mrAnd5rs0n/Online-Shop-APP,https://github.com/mrAnd5rs0n/Online-Shop-APP.git,0,0,0,5,40942,2
289,MarkoGlisic,React-Online-Shop,MarkoGlisic/React-Online-Shop,https://github.com/MarkoGlisic/React-Online-Shop.git,0,0,0,27,473,2
290,morshedulmunna,Benku-OnlineShop,morshedulmunna/Benku-OnlineShop,https://github.com/morshedulmunna/Benku-OnlineShop.git,0,0,0,86,324,2
291,gowagowa-cha,sneakers-shop,gowagowa-cha/sneakers-shop,https://github.com/gowagowa-cha/sneakers-shop.git,0,0,0,21,1741,2
292,Xaky0105,training-shop,Xaky0105/training-shop,https://github.com/Xaky0105/training-shop.git,0,0,1,21,35446,2
293,HuPaL,OnlineShop-React,HuPaL/OnlineShop-React,https://github.com/HuPaL/OnlineShop-React.git,0,0,0,0,181,2
294,mjBayati,onlineShopWithReact,mjBayati/onlineShopWithReact,https://github.com/mjBayati/onlineShopWithReact.git,0,0,0,0,839,2
295,aminimani35,onlineShop-react,aminimani35/onlineShop-react,https://github.com/aminimani35/onlineShop-react.git,0,1,0,0,1425,2
296,toukyyeasir,Simple-OnlineShop-React,toukyyeasir/Simple-OnlineShop-React,https://github.com/toukyyeasir/Simple-OnlineShop-React.git,0,0,0,0,1755,2
297,estatelelashvili,OnlineReactShop,estatelelashvili/OnlineReactShop,https://github.com/estatelelashvili/OnlineReactShop.git,0,0,0,27,698,2
298,RuslanMiakin,OnlineShopReact,RuslanMiakin/OnlineShopReact,https://github.com/RuslanMiakin/OnlineShopReact.git,0,0,0,0,3981,2
299,Alirezakarimi79,react-onlineShop,Alirezakarimi79/react-onlineShop,https://github.com/Alirezakarimi79/react-onlineShop.git,0,0,0,0,717,2
300,Fateme-nm,onlineShop_react,Fateme-nm/onlineShop_react,https://github.com/Fateme-nm/onlineShop_react.git,0,0,0,0,1660,2
301,shaghayeghmohammadi,react-onlineShop,shaghayeghmohammadi/react-onlineShop,https://github.com/shaghayeghmohammadi/react-onlineShop.git,0,0,0,0,425,2
302,MuellerMarvin,OnlineShoppingListReact,MuellerMarvin/OnlineShoppingListReact,https://github.com/MuellerMarvin/OnlineShoppingListReact.git,0,0,1,49,532,2
303,han19920516,React-onlineShopping-,han19920516/React-onlineShopping-,https://github.com/han19920516/React-onlineShopping-.git,0,0,0,0,330,2
304,coderaudi,OnlineShopinReactjs,coderaudi/OnlineShopinReactjs,https://github.com/coderaudi/OnlineShopinReactjs.git,0,0,0,0,147,2
305,ayim21,react-onlineShop,ayim21/react-onlineShop,https://github.com/ayim21/react-onlineShop.git,0,0,0,0,5462,2
306,arkaaaadiy,e-commerse,arkaaaadiy/e-commerse,https://github.com/arkaaaadiy/e-commerse.git,0,0,1,40,15549,2
307,thaks,tahir-shop,thaks/tahir-shop,https://github.com/thaks/tahir-shop.git,0,0,18,18,2006,2
308,WangHsuan,React_HOJA_OnlineShop,WangHsuan/React_HOJA_OnlineShop,https://github.com/WangHsuan/React_HOJA_OnlineShop.git,0,0,2,0,4037,2
309,Min5407,React-onlineShopping,Min5407/React-onlineShopping,https://github.com/Min5407/React-onlineShopping.git,0,0,19,0,4020,2
310,riddhi3191,React-OnlineShopping,riddhi3191/React-OnlineShopping,https://github.com/riddhi3191/React-OnlineShopping.git,0,0,18,0,9113,2
311,mehdiShariati,onlineShopWithReact,mehdiShariati/onlineShopWithReact,https://github.com/mehdiShariati/onlineShopWithReact.git,0,0,1,0,1561,2
312,AmadoJunior,OnlineShopReact,AmadoJunior/OnlineShopReact,https://github.com/AmadoJunior/OnlineShopReact.git,0,0,0,184,445,2
313,azzazzelor,react-redux-onlineShop,azzazzelor/react-redux-onlineShop,https://github.com/azzazzelor/react-redux-onlineShop.git,0,0,0,0,979,2
314,AhmadDwiyan,React_OnlineShop,AhmadDwiyan/React_OnlineShop,https://github.com/AhmadDwiyan/React_OnlineShop.git,0,0,1,0,507,2
315,samsoncsyu7777,React-MERN-OnlineShop,samsoncsyu7777/React-MERN-OnlineShop,https://github.com/samsoncsyu7777/React-MERN-OnlineShop.git,0,1,0,127,7795,2
316,bhaveshpatil856,React_OnlineShop_Website,bhaveshpatil856/React_OnlineShop_Website,https://github.com/bhaveshpatil856/React_OnlineShop_Website.git,0,0,0,0,217,2
317,GevorgPoghosyan95,onlineShopReactNode,GevorgPoghosyan95/onlineShopReactNode,https://github.com/GevorgPoghosyan95/onlineShopReactNode.git,0,0,0,0,271,2
318,sara547,onlineShopping-By-React,sara547/onlineShopping-By-React,https://github.com/sara547/onlineShopping-By-React.git,0,0,0,0,2213,2
319,kritinsinghal,insticator-shop,kritinsinghal/insticator-shop,https://github.com/kritinsinghal/insticator-shop.git,0,0,0,20,993,2
320,DShevv,React_OnlineShop,DShevv/React_OnlineShop,https://github.com/DShevv/React_OnlineShop.git,0,0,0,61,224,2
321,anabbaa,onlineShopReact,anabbaa/onlineShopReact,https://github.com/anabbaa/onlineShopReact.git,0,0,0,0,822,2
322,MattToczek,onlineShoppingCart-React,MattToczek/onlineShoppingCart-React,https://github.com/MattToczek/onlineShoppingCart-React.git,0,0,15,0,2682,2
323,CaitlynFowkes,react_onlineShop,CaitlynFowkes/react_onlineShop,https://github.com/CaitlynFowkes/react_onlineShop.git,0,0,1,0,663,2
324,rahil1978,React-onlineShop,rahil1978/React-onlineShop,https://github.com/rahil1978/React-onlineShop.git,0,0,21,87,3189,2
325,Fenglong1502,React---OnlineShopTutorial,Fenglong1502/React---OnlineShopTutorial,https://github.com/Fenglong1502/React---OnlineShopTutorial.git,0,0,0,0,6329,2
326,kunhuy0899,OnlineShop_reactjs,kunhuy0899/OnlineShop_reactjs,https://github.com/kunhuy0899/OnlineShop_reactjs.git,0,0,0,0,842,2
327,CathKolar,OnlineShopReact,CathKolar/OnlineShopReact,https://github.com/CathKolar/OnlineShopReact.git,0,0,0,0,114238,2
328,Teitei011,OnlineShopReact,Teitei011/OnlineShopReact,https://github.com/Teitei011/OnlineShopReact.git,0,0,0,0,1210,2
329,minhnhatvdl,ShopOnlineReactApp,minhnhatvdl/ShopOnlineReactApp,https://github.com/minhnhatvdl/ShopOnlineReactApp.git,0,1,0,38,3017,2
330,jinchengweng,ShopOnlineReact,jinchengweng/ShopOnlineReact,https://github.com/jinchengweng/ShopOnlineReact.git,0,0,0,0,184,2
331,ThanhLoc47,ShopOnlineReactNative,ThanhLoc47/ShopOnlineReactNative,https://github.com/ThanhLoc47/ShopOnlineReactNative.git,0,0,0,0,3559,2
332,amirshah093,onlineshope,amirshah093/onlineshope,https://github.com/amirshah093/onlineshope.git,0,0,19,37,2582,2
333,javie1199,onlineshopping-react,javie1199/onlineshopping-react,https://github.com/javie1199/onlineshopping-react.git,0,0,0,35,1747,2
334,mojtabamaslahatbin,OnlineShop,mojtabamaslahatbin/OnlineShop,https://github.com/mojtabamaslahatbin/OnlineShop.git,0,0,0,56,196,2
335,raku1089,react-online-shopping,raku1089/react-online-shopping,https://github.com/raku1089/react-online-shopping.git,0,0,0,33,804,2
336,nastaranjalali,onlineShop,nastaranjalali/onlineShop,https://github.com/nastaranjalali/onlineShop.git,0,0,0,70,3007,2
