rank,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
80,TeamTripix,Intern-React,TeamTripix/Intern-React,https://github.com/TeamTripix/Intern-React.git,1,0,0,11,384,2
81,ArtemVeremienko,custom-react,ArtemVeremienko/custom-react,https://github.com/ArtemVeremienko/custom-react.git,1,0,0,12,67,2
82,keeeparis,react-scandi,keeeparis/react-scandi,https://github.com/keeeparis/react-scandi.git,0,0,0,12,760,2
83,ArinzeJeffrey-droid,Online-Shopping-Store,ArinzeJeffrey-droid/Online-Shopping-Store,https://github.com/ArinzeJeffrey-droid/Online-Shopping-Store.git,1,2,7,89,3173,2
84,elyor-doniyorov,online-clothing-shop,elyor-doniyorov/online-clothing-shop,https://github.com/elyor-doniyorov/online-clothing-shop.git,1,2,1,92,394,2
85,harshai,shop,harshai/shop,https://github.com/harshai/shop.git,2,0,0,57,5253,2
86,luan4637,react-native-shopping,luan4637/react-native-shopping,https://github.com/luan4637/react-native-shopping.git,1,0,0,15,2338,2
87,Rustam666,final-project-react,Rustam666/final-project-react,https://github.com/Rustam666/final-project-react.git,1,0,2,11,16547,2
88,deamodis,internet-shop-react-redux,deamodis/internet-shop-react-redux,https://github.com/deamodis/internet-shop-react-redux.git,1,0,0,11,662,2
89,salove16,MyntraClone_react,salove16/MyntraClone_react,https://github.com/salove16/MyntraClone_react.git,5,2,0,254,10112,2
90,Expelliarmus625,shop,Expelliarmus625/shop,https://github.com/Expelliarmus625/shop.git,1,0,13,40,1385,2
91,Ezeko,shop,Ezeko/shop,https://github.com/Ezeko/shop.git,1,0,0,34,197,2
92,andrijadenic9,Shop-with-React-and-Node,andrijadenic9/Shop-with-React-and-Node,https://github.com/andrijadenic9/Shop-with-React-and-Node.git,0,0,0,11,0,2
93,boneswvb,scrimba-react-pic-some-app,boneswvb/scrimba-react-pic-some-app,https://github.com/boneswvb/scrimba-react-pic-some-app.git,1,0,0,11,552,2
94,levan966,OnlineShop,levan966/OnlineShop,https://github.com/levan966/OnlineShop.git,1,0,0,36,4302,2
95,Mhdph,onlineshop,Mhdph/onlineshop,https://github.com/Mhdph/onlineshop.git,0,0,0,22,460,2
96,Iri-iri,i-shop,Iri-iri/i-shop,https://github.com/Iri-iri/i-shop.git,1,2,0,70,1565,2
97,siminkovlad,OnlineShop,siminkovlad/OnlineShop,https://github.com/siminkovlad/OnlineShop.git,1,0,0,9,258,2
98,sabiut,onlineShop,sabiut/onlineShop,https://github.com/sabiut/onlineShop.git,1,0,10,12,1975,2
99,pooriaashkevarvakili,onlineShop,pooriaashkevarvakili/onlineShop,https://github.com/pooriaashkevarvakili/onlineShop.git,1,0,15,9,4403,2
100,EladHershkovitz,clothingShop,EladHershkovitz/clothingShop,https://github.com/EladHershkovitz/clothingShop.git,1,0,0,26,1018,2
101,alexsoar,webreactor,alexsoar/webreactor,https://github.com/alexsoar/webreactor.git,1,0,0,21,1181,2
102,ahmdammarr,cyper-shop-app,ahmdammarr/cyper-shop-app,https://github.com/ahmdammarr/cyper-shop-app.git,0,0,0,24,949,2
103,LovroHodak,Guitarzz---frontend,LovroHodak/Guitarzz---frontend,https://github.com/LovroHodak/Guitarzz---frontend.git,0,0,0,26,198,2
104,SusanaSalmeron,react-shop-online,SusanaSalmeron/react-shop-online,https://github.com/SusanaSalmeron/react-shop-online.git,1,0,3,22,2840,2
105,egatsak,superm-1,egatsak/superm-1,https://github.com/egatsak/superm-1.git,0,0,1,26,1458,2
106,karnikaindras,FWT-React-Assignment,karnikaindras/FWT-React-Assignment,https://github.com/karnikaindras/FWT-React-Assignment.git,1,0,0,25,393,2
107,islam95,react-ecommerce,islam95/react-ecommerce,https://github.com/islam95/react-ecommerce.git,1,0,0,29,44,2
