,name,full_name,clone_url,forks,watchers,open_issues,size,n_branches,len_description,owner,framework
194,onlineShop,AdrianJazowski/onlineShop,https://github.com/AdrianJazowski/onlineShop.git,0,0,0,2273,2,73,AdrianJazowski,react
195,reactshop,Enelination/reactshop,https://github.com/Enelination/reactshop.git,0,0,0,195,2,28,Enelination,react
196,Online-Shop,WinnieZzZPooh/Online-Shop,https://github.com/WinnieZzZPooh/Online-Shop.git,0,0,0,897,2,29,WinnieZzZPooh,react
197,online-shopping,Amrit618/online-shopping,https://github.com/Amrit618/online-shopping.git,0,0,0,488,2,36,Amrit618,react
198,Life-Clothing,Francis-Nwachukwu/Life-Clothing,https://github.com/Francis-Nwachukwu/Life-Clothing.git,0,2,0,500,2,84,Francis-Nwachukwu,react
199,OnlineFlowerShop,mirelasteve/OnlineFlowerShop,https://github.com/mirelasteve/OnlineFlowerShop.git,0,0,17,552,2,34,mirelasteve,react
200,react-codealong-online-cloth-shop,MMAcode/react-codealong-online-cloth-shop,https://github.com/MMAcode/react-codealong-online-cloth-shop.git,0,0,1,8741,2,9,MMAcode,react
201,online-shop,okhouja/online-shop,https://github.com/okhouja/online-shop.git,0,0,0,726,2,31,okhouja,react
202,online-store,maddicoats/online-store,https://github.com/maddicoats/online-store.git,0,0,0,376,2,22,maddicoats,react
203,online-store,anthony-th/online-store,https://github.com/anthony-th/online-store.git,0,0,0,3952,2,27,anthony-th,react
204,Online-Shop,JoseBencomo/Online-Shop,https://github.com/JoseBencomo/Online-Shop.git,0,0,0,361,2,31,JoseBencomo,react
205,online-shop,michael-ryk/online-shop,https://github.com/michael-ryk/online-shop.git,0,0,0,363,2,26,michael-ryk,react
206,OnlineShopping-BBM384,MerveMuge/OnlineShopping-BBM384,https://github.com/MerveMuge/OnlineShopping-BBM384.git,1,1,0,7357,2,24,MerveMuge,react
207,Node.9.OnlineShop,Jettik1/Node.9.OnlineShop,https://github.com/Jettik1/Node.9.OnlineShop.git,0,0,0,583,2,33,Jettik1,react
208,online-shop,mihaicf/online-shop,https://github.com/mihaicf/online-shop.git,0,0,0,206,2,30,mihaicf,react
209,OnlineShoppingApp,Vishalk04/OnlineShoppingApp,https://github.com/Vishalk04/OnlineShoppingApp.git,0,0,0,206,2,22,Vishalk04,react
210,OnlineSecondHandShop,CatalinBinzari/OnlineSecondHandShop,https://github.com/CatalinBinzari/OnlineSecondHandShop.git,0,0,0,950,2,13,CatalinBinzari,react
211,OnlineShoppingCart,sekhar-2425/OnlineShoppingCart,https://github.com/sekhar-2425/OnlineShoppingCart.git,0,0,0,395,2,16,sekhar-2425,react
212,Crwn-OnlineShop,sFritsch09/Crwn-OnlineShop,https://github.com/sFritsch09/Crwn-OnlineShop.git,0,0,0,53192,2,40,sFritsch09,react
