,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches,framework
182,zzzzzjhhhh,vue-online-shop,zzzzzjhhhh/vue-online-shop,https://github.com/zzzzzjhhhh/vue-online-shop.git,1,0,17,0,3725,2,vue
183,chenhui996,Vue-Online-Shop,chenhui996/Vue-Online-Shop,https://github.com/chenhui996/Vue-Online-Shop.git,1,1,21,0,6277,2,vue
184,JunZhenSun,Vue-online-shop,JunZhenSun/Vue-online-shop,https://github.com/JunZhenSun/Vue-online-shop.git,1,0,0,0,3094,2,vue
185,PavelKP,online-shop-vue,PavelKP/online-shop-vue,https://github.com/PavelKP/online-shop-vue.git,0,0,0,0,3666,2,vue
186,BaxtiyorBohodirov,vue-online-shop,BaxtiyorBohodirov/vue-online-shop,https://github.com/BaxtiyorBohodirov/vue-online-shop.git,0,0,0,0,137,2,vue
187,easonxu0908,vue-online-shop,easonxu0908/vue-online-shop,https://github.com/easonxu0908/vue-online-shop.git,0,0,17,0,123447,2,vue
188,Kutloano16,vue-js-online-shop,Kutloano16/vue-js-online-shop,https://github.com/Kutloano16/vue-js-online-shop.git,0,0,0,24,26,2,vue
189,Dyphellia,vue-online-shop,Dyphellia/vue-online-shop,https://github.com/Dyphellia/vue-online-shop.git,0,0,22,0,2957,2,vue
190,AlexandreCln,vue-online-shop,AlexandreCln/vue-online-shop,https://github.com/AlexandreCln/vue-online-shop.git,0,0,0,53,460,2,vue
191,DaryaUdiryakova,online-shop-vue,DaryaUdiryakova/online-shop-vue,https://github.com/DaryaUdiryakova/online-shop-vue.git,0,0,0,0,1830,2,vue
192,tharma-thavam,online-shop-vue-application,tharma-thavam/online-shop-vue-application,https://github.com/tharma-thavam/online-shop-vue-application.git,0,0,0,0,159,2,vue
193,feihoa,online-shop-vue,feihoa/online-shop-vue,https://github.com/feihoa/online-shop-vue.git,0,0,0,0,1345,2,vue
194,baiimbet0v,online_shop-vue-,baiimbet0v/online_shop-vue-,https://github.com/baiimbet0v/online_shop-vue-.git,0,0,0,0,210,2,vue
195,maidacencoanastasia,online-Vue-shop,maidacencoanastasia/online-Vue-shop,https://github.com/maidacencoanastasia/online-Vue-shop.git,0,0,0,0,567,2,vue
196,MaxLisyanskiy,online-shop-vue,MaxLisyanskiy/online-shop-vue,https://github.com/MaxLisyanskiy/online-shop-vue.git,0,0,0,0,739,2,vue
197,Streammer,vue_tutorial_online_shop,Streammer/vue_tutorial_online_shop,https://github.com/Streammer/vue_tutorial_online_shop.git,0,0,0,0,363,2,vue
198,DaryaUdiryakova,online-shop-vue-src,DaryaUdiryakova/online-shop-vue-src,https://github.com/DaryaUdiryakova/online-shop-vue-src.git,0,0,0,0,1719,2,vue
199,Pavliklaw7,vue-online-shop,Pavliklaw7/vue-online-shop,https://github.com/Pavliklaw7/vue-online-shop.git,0,0,0,0,278,2,vue
200,TanyaKulikovskaya,Vue-Online-Shop,TanyaKulikovskaya/Vue-Online-Shop,https://github.com/TanyaKulikovskaya/Vue-Online-Shop.git,0,0,0,32,1991,2,vue
201,YaRoslaVblablabla,Vue_online-shop,YaRoslaVblablabla/Vue_online-shop,https://github.com/YaRoslaVblablabla/Vue_online-shop.git,0,0,0,0,1417,2,vue
202,haidi20,online-shop-dengan-vue,haidi20/online-shop-dengan-vue,https://github.com/haidi20/online-shop-dengan-vue.git,1,0,0,81,213,2,vue
203,fishinsea2014,VUE_Simulated_Online_Shopping,fishinsea2014/VUE_Simulated_Online_Shopping,https://github.com/fishinsea2014/VUE_Simulated_Online_Shopping.git,0,0,0,0,2342,2,vue
204,OlgaVolosevich,Online-Shop-Vue-App,OlgaVolosevich/Online-Shop-Vue-App,https://github.com/OlgaVolosevich/Online-Shop-Vue-App.git,0,0,19,0,2399,2,vue
205,Xokage123,Vue_create_online-shop,Xokage123/Vue_create_online-shop,https://github.com/Xokage123/Vue_create_online-shop.git,0,0,0,0,3466,2,vue
206,liwei3380,vue-online-shop-frontend,liwei3380/vue-online-shop-frontend,https://github.com/liwei3380/vue-online-shop-frontend.git,0,0,0,0,49,2,vue
207,blackwaterstar,online_shop_vue,blackwaterstar/online_shop_vue,https://github.com/blackwaterstar/online_shop_vue.git,0,0,0,0,2936,2,vue
208,diegotpereira,vue-shop-online-firebase,diegotpereira/vue-shop-online-firebase,https://github.com/diegotpereira/vue-shop-online-firebase.git,0,0,0,59,2267,2,vue
209,DoubleWoodLin,vue-online-shop,DoubleWoodLin/vue-online-shop,https://github.com/DoubleWoodLin/vue-online-shop.git,1,0,0,0,2423,2,vue
210,ZoyaVolkova,vuex-shop,ZoyaVolkova/vuex-shop,https://github.com/ZoyaVolkova/vuex-shop.git,3,3,1,45,2884,2,vue
211,yalandr,way-rings,yalandr/way-rings,https://github.com/yalandr/way-rings.git,0,0,0,35,1662,2,vue
212,duyuiqao,e-commerce,duyuiqao/e-commerce,https://github.com/duyuiqao/e-commerce.git,0,0,0,47,600,2,vue
213,zide-pleasure,shop_sdk,zide-pleasure/shop_sdk,https://github.com/zide-pleasure/shop_sdk.git,0,0,1,26,1494,2,vue
214,zadr50,maxon-eshop,zadr50/maxon-eshop,https://github.com/zadr50/maxon-eshop.git,0,0,14,38,1709,2,vue
215,elena-dragunova,tea-shop,elena-dragunova/tea-shop,https://github.com/elena-dragunova/tea-shop.git,0,0,2,37,4814,2,vue
216,ShenJet,piwubang,ShenJet/piwubang,https://github.com/ShenJet/piwubang.git,1,0,0,45,3296,2,vue
217,W-Java,mall,W-Java/mall,https://github.com/W-Java/mall.git,0,1,0,38,259,2,vue
218,giwatest,MxShop,giwatest/MxShop,https://github.com/giwatest/MxShop.git,1,0,0,29,16648,2,vue
219,Jeddi212,Foodut,Jeddi212/Foodut,https://github.com/Jeddi212/Foodut.git,0,1,0,32,27782,2,vue
220,axquired24,olshop-admin,axquired24/olshop-admin,https://github.com/axquired24/olshop-admin.git,0,0,0,42,416,2,vue
221,Magazinediver,supermall,Magazinediver/supermall,https://github.com/Magazinediver/supermall.git,0,0,22,33,2259,2,vue
222,mihazzz123,main-shop,mihazzz123/main-shop,https://github.com/mihazzz123/main-shop.git,0,0,0,30,434,2,vue
223,DiggerZhou,Mall,DiggerZhou/Mall,https://github.com/DiggerZhou/Mall.git,0,0,16,31,2283,2,vue
224,cagilan,online-product-purchase-vue,cagilan/online-product-purchase-vue,https://github.com/cagilan/online-product-purchase-vue.git,1,0,1,48,97,2,vue
225,yeminko,online-shop,yeminko/online-shop,https://github.com/yeminko/online-shop.git,1,0,0,44,430,2,vue
226,Ryukyo,online-shop,Ryukyo/online-shop,https://github.com/Ryukyo/online-shop.git,0,0,0,56,1960,2,vue
227,tomleb3,bookie,tomleb3/bookie,https://github.com/tomleb3/bookie.git,1,0,0,19,3517,2,vue
228,BrunoPrdt,my_vue-js_online_shop,BrunoPrdt/my_vue-js_online_shop,https://github.com/BrunoPrdt/my_vue-js_online_shop.git,0,0,9,28,732,2,vue
229,AustinRichburg,shop-dummy,AustinRichburg/shop-dummy,https://github.com/AustinRichburg/shop-dummy.git,1,0,0,42,442,2,vue
230,Jarkovato,Indi-shop,Jarkovato/Indi-shop,https://github.com/Jarkovato/Indi-shop.git,0,0,0,35,17708,2,vue
231,sashaj,vue-shop,sashaj/vue-shop,https://github.com/sashaj/vue-shop.git,0,0,0,48,3488,2,vue
232,AnnisaRizki30,FE-VueJs-Nuxt-Online-Shopping-Web,AnnisaRizki30/FE-VueJs-Nuxt-Online-Shopping-Web,https://github.com/AnnisaRizki30/FE-VueJs-Nuxt-Online-Shopping-Web.git,1,0,0,0,3981,2,vue
233,git-nori,_tr-vuex-_vue-online-storewith-shopping-cart,git-nori/_tr-vuex-_vue-online-storewith-shopping-cart,https://github.com/git-nori/_tr-vuex-_vue-online-storewith-shopping-cart.git,0,0,21,0,5513,2,vue
234,maheralayoubi,NodeJS-VueJS-Online-Shop,maheralayoubi/NodeJS-VueJS-Online-Shop,https://github.com/maheralayoubi/NodeJS-VueJS-Online-Shop.git,1,1,0,0,14,2,vue
235,ext2a,vuedemo,ext2a/vuedemo,https://github.com/ext2a/vuedemo.git,0,0,0,37,109,2,vue
236,yueyue200830,ShopMe,yueyue200830/ShopMe,https://github.com/yueyue200830/ShopMe.git,0,0,1,47,1350,2,vue
237,siattesting,vueonlineshop,siattesting/vueonlineshop,https://github.com/siattesting/vueonlineshop.git,1,0,23,50,4707,2,vue
238,GeorgyDolganov,vuexonlinestore,GeorgyDolganov/vuexonlinestore,https://github.com/GeorgyDolganov/vuexonlinestore.git,0,0,15,44,1358,2,vue
239,anaalamed,online-shop,anaalamed/online-shop,https://github.com/anaalamed/online-shop.git,0,0,0,98,1387,2,vue
240,admicaa,vue-cli-small-online-shop,admicaa/vue-cli-small-online-shop,https://github.com/admicaa/vue-cli-small-online-shop.git,0,0,20,45,2058,2,vue
241,Beisenbayev,nuxt-online-shop,Beisenbayev/nuxt-online-shop,https://github.com/Beisenbayev/nuxt-online-shop.git,0,0,0,32,175,2,vue
242,filip106,luka-shop-frontend,filip106/luka-shop-frontend,https://github.com/filip106/luka-shop-frontend.git,0,0,17,27,986,2,vue
243,agampreetsingh,shoppingAppVue,agampreetsingh/shoppingAppVue,https://github.com/agampreetsingh/shoppingAppVue.git,1,0,0,53,3245,2,vue
244,oliverrochester,Online-Shopping-App-Vue.js,oliverrochester/Online-Shopping-App-Vue.js,https://github.com/oliverrochester/Online-Shopping-App-Vue.js.git,1,0,1,182,3235,2,vue
245,DaliaTarek96,simple-online-shopping-using-vue,DaliaTarek96/simple-online-shopping-using-vue,https://github.com/DaliaTarek96/simple-online-shopping-using-vue.git,1,0,0,0,1125,2,vue
246,meiluhua,C2C-Online-Shop,meiluhua/C2C-Online-Shop,https://github.com/meiluhua/C2C-Online-Shop.git,0,0,0,47,17895,2,vue
247,miyasinarafat,vue-store,miyasinarafat/vue-store,https://github.com/miyasinarafat/vue-store.git,1,0,0,44,183,2,vue
248,tngeene,vue-3-demo-fitness-shop,tngeene/vue-3-demo-fitness-shop,https://github.com/tngeene/vue-3-demo-fitness-shop.git,0,0,0,37,200,2,vue
249,NasrinHaidari,Vue-fundamental,NasrinHaidari/Vue-fundamental,https://github.com/NasrinHaidari/Vue-fundamental.git,1,0,0,49,4643,2,vue
250,hetiansu5,vue-mall,hetiansu5/vue-mall,https://github.com/hetiansu5/vue-mall.git,1,0,25,52,2188,2,vue
251,rp88imxo,RmlOnlineShop,rp88imxo/RmlOnlineShop,https://github.com/rp88imxo/RmlOnlineShop.git,1,0,0,40,9094,2,vue
252,YuryPrymak,OliosOnlineShop,YuryPrymak/OliosOnlineShop,https://github.com/YuryPrymak/OliosOnlineShop.git,0,0,0,54,6153,2,vue
253,yichengyiguo,onlineShop,yichengyiguo/onlineShop,https://github.com/yichengyiguo/onlineShop.git,1,0,0,29,1323,2,vue
254,YouthguyZ,online-shopping,YouthguyZ/online-shopping,https://github.com/YouthguyZ/online-shopping.git,0,1,0,48,1428,2,vue
255,sartim,vue_shop_admin,sartim/vue_shop_admin,https://github.com/sartim/vue_shop_admin.git,1,1,11,95,180,2,vue
256,Stoneleee,online-shop,Stoneleee/online-shop,https://github.com/Stoneleee/online-shop.git,1,0,14,76,279,2,vue
257,GarikGelios,online_shop,GarikGelios/online_shop,https://github.com/GarikGelios/online_shop.git,0,0,23,65,3603,2,vue
258,vibhavk,YourShopVue,vibhavk/YourShopVue,https://github.com/vibhavk/YourShopVue.git,0,1,0,51,138,2,vue
259,amsalud,PosterShop-Vue,amsalud/PosterShop-Vue,https://github.com/amsalud/PosterShop-Vue.git,0,0,32,55,3897,2,vue
260,webmaster1022,Vue-Shop-Master,webmaster1022/Vue-Shop-Master,https://github.com/webmaster1022/Vue-Shop-Master.git,0,1,0,58,512,2,vue
261,udosenakane,shop,udosenakane/shop,https://github.com/udosenakane/shop.git,0,0,0,99,14155,2,vue
262,fjmn2001,vue-online-store,fjmn2001/vue-online-store,https://github.com/fjmn2001/vue-online-store.git,0,1,0,79,187,2,vue
263,Zakratus,lodestar-online-shop,Zakratus/lodestar-online-shop,https://github.com/Zakratus/lodestar-online-shop.git,0,0,0,116,7131,2,vue
264,DaSun30,vue_shop,DaSun30/vue_shop,https://github.com/DaSun30/vue_shop.git,1,0,0,64,4280,2,vue
265,git-nori,_tr_Vue-Online-Store-with-Shopping-Cart,git-nori/_tr_Vue-Online-Store-with-Shopping-Cart,https://github.com/git-nori/_tr_Vue-Online-Store-with-Shopping-Cart.git,0,0,17,71,1129,2,vue
266,woshigde,an-app-designed-for-online-shopping,woshigde/an-app-designed-for-online-shopping,https://github.com/woshigde/an-app-designed-for-online-shopping.git,1,1,22,39,2229,2,vue
267,JackCrysler,online-shop,JackCrysler/online-shop,https://github.com/JackCrysler/online-shop.git,1,1,0,27,3021,2,vue
268,zaitsava-katsiaryna,online_shop,zaitsava-katsiaryna/online_shop,https://github.com/zaitsava-katsiaryna/online_shop.git,0,0,0,125,413,2,vue
269,chen86860,may-shop,chen86860/may-shop,https://github.com/chen86860/may-shop.git,0,1,0,42,6693,2,vue
270,77tao,online-shopping-mall,77tao/online-shopping-mall,https://github.com/77tao/online-shopping-mall.git,0,0,5,28,1472,2,vue
271,KYang72Bcit,kqhandmade-online-shop,KYang72Bcit/kqhandmade-online-shop,https://github.com/KYang72Bcit/kqhandmade-online-shop.git,0,0,0,69,3399,2,vue
272,tomastoews,Garonne-Online-Shop-UI,tomastoews/Garonne-Online-Shop-UI,https://github.com/tomastoews/Garonne-Online-Shop-UI.git,0,0,23,78,5560,2,vue
273,77tao,online-shopping-admin,77tao/online-shopping-admin,https://github.com/77tao/online-shopping-admin.git,0,0,6,28,1280,2,vue
274,314yyds,online-shop-admin-ui,314yyds/online-shop-admin-ui,https://github.com/314yyds/online-shop-admin-ui.git,0,0,0,70,500,2,vue
275,KaramullinTimur,ShoppingApp-Vue-SCSS-TypeScript,KaramullinTimur/ShoppingApp-Vue-SCSS-TypeScript,https://github.com/KaramullinTimur/ShoppingApp-Vue-SCSS-TypeScript.git,0,0,0,103,711,2,vue
276,jczzz,vue-express-online-shop-v1,jczzz/vue-express-online-shop-v1,https://github.com/jczzz/vue-express-online-shop-v1.git,1,0,0,53,3345,2,vue
277,aijan999,vue-pet-depot-miniOnlineShop,aijan999/vue-pet-depot-miniOnlineShop,https://github.com/aijan999/vue-pet-depot-miniOnlineShop.git,0,0,0,0,127,2,vue
278,Nereitay,C.C.Online,Nereitay/C.C.Online,https://github.com/Nereitay/C.C.Online.git,2,0,0,52,22340,2,vue
279,janesser,build-an-online-shop-with-vue-ts,janesser/build-an-online-shop-with-vue-ts,https://github.com/janesser/build-an-online-shop-with-vue-ts.git,1,1,0,68,113,2,vue
280,Brilliantwebdev1125,Simple-shopping-site,Brilliantwebdev1125/Simple-shopping-site,https://github.com/Brilliantwebdev1125/Simple-shopping-site.git,0,0,0,48,7286,2,vue
281,lilitmans,shop-template-vuejs,lilitmans/shop-template-vuejs,https://github.com/lilitmans/shop-template-vuejs.git,0,0,19,70,1336,2,vue
282,isbard,ScotchVueShop,isbard/ScotchVueShop,https://github.com/isbard/ScotchVueShop.git,1,0,0,89,18,2,vue
283,EtienneFR,shop-testing,EtienneFR/shop-testing,https://github.com/EtienneFR/shop-testing.git,0,0,0,57,175,2,vue
284,roma-marshall,studious-engine,roma-marshall/studious-engine,https://github.com/roma-marshall/studious-engine.git,0,0,0,49,292,2,vue
285,flaredragon,Ostore,flaredragon/Ostore,https://github.com/flaredragon/Ostore.git,0,0,0,38,93,2,vue
286,lovaiible,lovaiible,lovaiible/lovaiible,https://github.com/lovaiible/lovaiible.git,0,0,17,57,6553,2,vue
287,Rashmikatti,SocialMart,Rashmikatti/SocialMart,https://github.com/Rashmikatti/SocialMart.git,0,0,0,46,221,2,vue
288,rennygalindez,vue-poke-shopping-cart,rennygalindez/vue-poke-shopping-cart,https://github.com/rennygalindez/vue-poke-shopping-cart.git,0,0,0,100,159,2,vue
289,rayc2045,horizontal-scrolling-theater,rayc2045/horizontal-scrolling-theater,https://github.com/rayc2045/horizontal-scrolling-theater.git,0,0,0,31,15767,2,vue
290,Harshada-Mulye,webshop-vue,Harshada-Mulye/webshop-vue,https://github.com/Harshada-Mulye/webshop-vue.git,1,0,0,78,246,2,vue
291,Yanyeee,ShoppingMall,Yanyeee/ShoppingMall,https://github.com/Yanyeee/ShoppingMall.git,0,1,0,68,626,2,vue
292,Mistergpofficial,meeks-onlinestore-client,Mistergpofficial/meeks-onlinestore-client,https://github.com/Mistergpofficial/meeks-onlinestore-client.git,1,1,0,65,3093,2,vue
293,firstake,shops-prices,firstake/shops-prices,https://github.com/firstake/shops-prices.git,0,0,1,74,3895,2,vue
294,VladislavDeveloper,e-shop_onVue.js,VladislavDeveloper/e-shop_onVue.js,https://github.com/VladislavDeveloper/e-shop_onVue.js.git,0,0,0,107,271,2,vue
295,MoiOcanas,vuex-sneaker-shop,MoiOcanas/vuex-sneaker-shop,https://github.com/MoiOcanas/vuex-sneaker-shop.git,1,1,18,162,8807,2,vue
296,pratikshitre,demo_project_vue_js,pratikshitre/demo_project_vue_js,https://github.com/pratikshitre/demo_project_vue_js.git,0,0,0,80,4723,2,vue
297,qianwen155,vue-webpack-node,qianwen155/vue-webpack-node,https://github.com/qianwen155/vue-webpack-node.git,0,0,0,31,25989,2,vue
298,dynamohuang,elementUI-goods-spec,dynamohuang/elementUI-goods-spec,https://github.com/dynamohuang/elementUI-goods-spec.git,0,2,0,88,82,2,vue
299,quintans,Jaystore,quintans/Jaystore,https://github.com/quintans/Jaystore.git,0,1,0,70,64,2,vue
300,msaber69,msaber69-Online-shopping-site-using-Vue.js,msaber69/msaber69-Online-shopping-site-using-Vue.js,https://github.com/msaber69/msaber69-Online-shopping-site-using-Vue.js.git,0,0,0,0,21,2,vue
301,kryukalexander,shopping-list,kryukalexander/shopping-list,https://github.com/kryukalexander/shopping-list.git,0,0,0,89,155,2,vue
302,jehdaileg,Shopping-Cart-,jehdaileg/Shopping-Cart-,https://github.com/jehdaileg/Shopping-Cart-.git,0,1,0,85,235,2,vue
303,MaxKortelov,shop-page,MaxKortelov/shop-page,https://github.com/MaxKortelov/shop-page.git,0,0,0,110,1239,2,vue
304,VladislavDeveloper,e-shop_onVue_webpack,VladislavDeveloper/e-shop_onVue_webpack,https://github.com/VladislavDeveloper/e-shop_onVue_webpack.git,0,0,0,125,356,2,vue
305,odayakanaasa,e-shop-books,odayakanaasa/e-shop-books,https://github.com/odayakanaasa/e-shop-books.git,0,0,0,74,244,2,vue
306,kkonne,ecommerce-shop-frontend,kkonne/ecommerce-shop-frontend,https://github.com/kkonne/ecommerce-shop-frontend.git,0,0,0,82,187,2,vue
307,neilmerton,poc-vape-shop,neilmerton/poc-vape-shop,https://github.com/neilmerton/poc-vape-shop.git,0,0,16,66,1845,2,vue
308,zakharovda95,vue_ts-composition_api-japanese_sweets_store,zakharovda95/vue_ts-composition_api-japanese_sweets_store,https://github.com/zakharovda95/vue_ts-composition_api-japanese_sweets_store.git,0,0,0,79,762,2,vue
309,Stanislavskiy,vue_cart,Stanislavskiy/vue_cart,https://github.com/Stanislavskiy/vue_cart.git,0,0,3,83,610,2,vue
310,PAXANDDOS,pokeshop-vue,PAXANDDOS/pokeshop-vue,https://github.com/PAXANDDOS/pokeshop-vue.git,0,0,0,102,1431,2,vue
311,Mistergpofficial,meeks-onlinestore-rest-api,Mistergpofficial/meeks-onlinestore-rest-api,https://github.com/Mistergpofficial/meeks-onlinestore-rest-api.git,1,1,0,91,8447,2,vue
312,CCC-Shop,ccc-shop-frontend,CCC-Shop/ccc-shop-frontend,https://github.com/CCC-Shop/ccc-shop-frontend.git,1,0,0,63,1513,2,vue
313,jakubzadrozny,SuperShop,jakubzadrozny/SuperShop,https://github.com/jakubzadrozny/SuperShop.git,0,0,0,91,75,2,vue
314,vudelkaa,plant-house,vudelkaa/plant-house,https://github.com/vudelkaa/plant-house.git,0,1,0,86,82129,2,vue
315,YunYon-Bank,yunyon-turoturo,YunYon-Bank/yunyon-turoturo,https://github.com/YunYon-Bank/yunyon-turoturo.git,0,0,0,63,146,2,vue
316,googlpasha,minishop,googlpasha/minishop,https://github.com/googlpasha/minishop.git,0,1,0,62,2868,2,vue
317,itemashabanov,spb-kassa,itemashabanov/spb-kassa,https://github.com/itemashabanov/spb-kassa.git,0,0,0,51,1341,2,vue
318,nazeer-allahham,Just4Sport,nazeer-allahham/Just4Sport,https://github.com/nazeer-allahham/Just4Sport.git,0,0,0,79,4399,2,vue
319,johnchuks,Kickshop,johnchuks/Kickshop,https://github.com/johnchuks/Kickshop.git,0,0,0,60,172,2,vue
320,markofrontend,nabavi.ga,markofrontend/nabavi.ga,https://github.com/markofrontend/nabavi.ga.git,0,0,0,77,505,2,vue
321,AlexLiu2022,OnePiece-Online,AlexLiu2022/OnePiece-Online,https://github.com/AlexLiu2022/OnePiece-Online.git,0,0,0,121,2974,2,vue
322,AmanAzim,E-watch-store-VueJs,AmanAzim/E-watch-store-VueJs,https://github.com/AmanAzim/E-watch-store-VueJs.git,0,2,20,390,37650,2,vue
323,kacperkrasnal,teashop,kacperkrasnal/teashop,https://github.com/kacperkrasnal/teashop.git,0,0,0,83,3160,2,vue
324,odhiamboatieno,Laravel-Vue-JS-eCommerce-Platfom,odhiamboatieno/Laravel-Vue-JS-eCommerce-Platfom,https://github.com/odhiamboatieno/Laravel-Vue-JS-eCommerce-Platfom.git,0,1,0,303,12795,2,vue
325,FachryMochammad,Morgshop-server,FachryMochammad/Morgshop-server,https://github.com/FachryMochammad/Morgshop-server.git,0,0,0,137,82,2,vue
326,atomasso,CheckoutSystem,atomasso/CheckoutSystem,https://github.com/atomasso/CheckoutSystem.git,0,0,4,106,530,2,vue
327,FachryMochammad,Morgshop,FachryMochammad/Morgshop,https://github.com/FachryMochammad/Morgshop.git,0,0,0,137,2307,2,vue
328,ivanpaghubasan,pdm-capstone,ivanpaghubasan/pdm-capstone,https://github.com/ivanpaghubasan/pdm-capstone.git,0,0,4,126,23391,2,vue
329,StevieV1903,SOLEHomepageVUE,StevieV1903/SOLEHomepageVUE,https://github.com/StevieV1903/SOLEHomepageVUE.git,0,0,0,333,1655,2,vue
330,matt185,store-simulator,matt185/store-simulator,https://github.com/matt185/store-simulator.git,0,0,0,169,5403,2,vue
331,nwebstone,goods_shop,nwebstone/goods_shop,https://github.com/nwebstone/goods_shop.git,0,1,0,299,5824,2,vue
332,yankouskia,Shop,yankouskia/Shop,https://github.com/yankouskia/Shop.git,51,126,1,37,2397,2,react
333,BPouncey,ReactJS-ecommerce-template,BPouncey/ReactJS-ecommerce-template,https://github.com/BPouncey/ReactJS-ecommerce-template.git,47,64,4,53,3569,2,react
334,merikbest,ecommerce-spring-reactjs,merikbest/ecommerce-spring-reactjs,https://github.com/merikbest/ecommerce-spring-reactjs.git,98,133,1,119,43797,2,react
335,bithoven-dev,ReactNativeApolloOnlineStore,bithoven-dev/ReactNativeApolloOnlineStore,https://github.com/bithoven-dev/ReactNativeApolloOnlineStore.git,16,60,41,48,1547,2,react
336,thomaslwq,ygshop,thomaslwq/ygshop,https://github.com/thomaslwq/ygshop.git,51,3,18,28,2786,2,react
337,feMoraes0,online-groceries-app,feMoraes0/online-groceries-app,https://github.com/feMoraes0/online-groceries-app.git,18,34,1,56,7875,2,react
338,shashiirk,tiptop,shashiirk/tiptop,https://github.com/shashiirk/tiptop.git,16,41,0,23,474,2,react
339,renaco,online-shop,renaco/online-shop,https://github.com/renaco/online-shop.git,56,0,0,63,16708,2,react
340,val92130,Supreme-Auto-Checkout,val92130/Supreme-Auto-Checkout,https://github.com/val92130/Supreme-Auto-Checkout.git,111,363,70,109,7934,2,react
341,bartstc,react-simple-online-shop-concept,bartstc/react-simple-online-shop-concept,https://github.com/bartstc/react-simple-online-shop-concept.git,13,26,1,45,17522,2,react
342,alaminsahed,onlineShop,alaminsahed/onlineShop,https://github.com/alaminsahed/onlineShop.git,17,12,1,51,3437,2,react
343,ikhsanalatsary,react-mini-shop,ikhsanalatsary/react-mini-shop,https://github.com/ikhsanalatsary/react-mini-shop.git,12,18,5,38,728,2,react
344,soybeanxiaobi,online-shop,soybeanxiaobi/online-shop,https://github.com/soybeanxiaobi/online-shop.git,6,16,0,17,111,2,react
345,AbdulWahab0,Pizza-Shop,AbdulWahab0/Pizza-Shop,https://github.com/AbdulWahab0/Pizza-Shop.git,18,29,7,86,20749,2,react
346,ngothanhtung,react-online-shop,ngothanhtung/react-online-shop,https://github.com/ngothanhtung/react-online-shop.git,12,4,0,0,296,2,react
347,mvximenko,e-commerce,mvximenko/e-commerce,https://github.com/mvximenko/e-commerce.git,5,16,1,36,2103,2,react
348,Krivega,react-redux-shop,Krivega/react-redux-shop,https://github.com/Krivega/react-redux-shop.git,8,8,0,87,4330,2,react
349,mahmud-sajib,ReactJs-Online-Store,mahmud-sajib/ReactJs-Online-Store,https://github.com/mahmud-sajib/ReactJs-Online-Store.git,5,9,0,77,209,2,react
350,cedrickchee,e-mart,cedrickchee/e-mart,https://github.com/cedrickchee/e-mart.git,10,16,0,106,572,2,react
351,CC2021-WBL,S.Mallets-frontend,CC2021-WBL/S.Mallets-frontend,https://github.com/CC2021-WBL/S.Mallets-frontend.git,4,2,4,39,5705,2,react
352,ZahraMirzaei,online-shop,ZahraMirzaei/online-shop,https://github.com/ZahraMirzaei/online-shop.git,0,46,0,112,5612,2,react
353,anujshashimal,Fashion-Web-App,anujshashimal/Fashion-Web-App,https://github.com/anujshashimal/Fashion-Web-App.git,6,6,22,81,30176,2,react
354,MichaelKasingye,Jumia-clone,MichaelKasingye/Jumia-clone,https://github.com/MichaelKasingye/Jumia-clone.git,4,8,0,69,6506,2,react
355,jenna-m,redux-co,jenna-m/redux-co,https://github.com/jenna-m/redux-co.git,5,3,1,34,51302,2,react
356,iMykhailychenko,online-shop,iMykhailychenko/online-shop,https://github.com/iMykhailychenko/online-shop.git,2,4,0,94,7272,2,react
357,lakshanban,OnlineShoppingStore,lakshanban/OnlineShoppingStore,https://github.com/lakshanban/OnlineShoppingStore.git,3,4,16,84,26000,2,react
358,rukshan99,app-shopping-store,rukshan99/app-shopping-store,https://github.com/rukshan99/app-shopping-store.git,4,2,0,60,1243,2,react
359,CloudGakkai,Alfredo-Mobile,CloudGakkai/Alfredo-Mobile,https://github.com/CloudGakkai/Alfredo-Mobile.git,8,14,0,130,3272,2,react
360,kastergarta,react_native_storeapp,kastergarta/react_native_storeapp,https://github.com/kastergarta/react_native_storeapp.git,5,7,1,140,142810,2,react
361,Shihara-Dilshan,RW-Jewellery-Automated-System,Shihara-Dilshan/RW-Jewellery-Automated-System,https://github.com/Shihara-Dilshan/RW-Jewellery-Automated-System.git,8,5,7,122,15810,2,react
362,Salonii02,ECommerceColabShop,Salonii02/ECommerceColabShop,https://github.com/Salonii02/ECommerceColabShop.git,2,7,0,16,6389,2,react
363,ProjectKarol,loveya,ProjectKarol/loveya,https://github.com/ProjectKarol/loveya.git,3,0,17,17,4102,2,react
364,libscode,OpenDagang,libscode/OpenDagang,https://github.com/libscode/OpenDagang.git,5,2,2,81,3855,2,react
365,saidMounaim,cloth-shop,saidMounaim/cloth-shop,https://github.com/saidMounaim/cloth-shop.git,5,6,0,42,2628,2,react
366,optimm,shoppy,optimm/shoppy,https://github.com/optimm/shoppy.git,4,2,0,95,69168,2,react
367,unbanksytv,LTL-Admin,unbanksytv/LTL-Admin,https://github.com/unbanksytv/LTL-Admin.git,10,0,3,142,12146,2,react
368,akshayDatacode,online-shop,akshayDatacode/online-shop,https://github.com/akshayDatacode/online-shop.git,1,5,0,25,15845,2,react
369,JoinCODED,mech-kb,JoinCODED/mech-kb,https://github.com/JoinCODED/mech-kb.git,5,0,0,81,1767,2,react
