,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches,framework
43,onuchiinn,vueOnlineShop,onuchiinn/vueOnlineShop,https://github.com/onuchiinn/vueOnlineShop.git,0,0,20,33,6030,2,vue
44,LeVanVan-002,App-VueJS-ShopOnline,LeVanVan-002/App-VueJS-ShopOnline,https://github.com/LeVanVan-002/App-VueJS-ShopOnline.git,0,1,0,0,13916,2,vue
45,programmerCYY,online_shop,programmerCYY/online_shop,https://github.com/programmerCYY/online_shop.git,1,0,0,24,481,2,vue
46,OnofreiDaria,online_shop,OnofreiDaria/online_shop,https://github.com/OnofreiDaria/online_shop.git,0,0,18,21,2869,2,vue
47,Carinalulu,online-shop,Carinalulu/online-shop,https://github.com/Carinalulu/online-shop.git,0,0,15,14,1786,2,vue
48,Tilek0,online-shop,Tilek0/online-shop,https://github.com/Tilek0/online-shop.git,0,0,0,6,52225,2,vue
49,VickyDong20,online_shop,VickyDong20/online_shop,https://github.com/VickyDong20/online_shop.git,0,0,0,10,339,2,vue
50,stas-diubko,Shop-Vue-,stas-diubko/Shop-Vue-,https://github.com/stas-diubko/Shop-Vue-.git,0,0,17,12,1848,2,vue
51,KarKaron,vue-shop,KarKaron/vue-shop,https://github.com/KarKaron/vue-shop.git,0,0,0,24,829,2,vue
52,wizard-intraining,vueTry,wizard-intraining/vueTry,https://github.com/wizard-intraining/vueTry.git,1,0,0,36,2250,2,vue
53,oCodeHoney,vue_shop,oCodeHoney/vue_shop,https://github.com/oCodeHoney/vue_shop.git,0,0,20,33,2075,2,vue
54,BigUhoTape,onlineShop-VueJS-Vuex-January2020,BigUhoTape/onlineShop-VueJS-Vuex-January2020,https://github.com/BigUhoTape/onlineShop-VueJS-Vuex-January2020.git,0,0,24,0,3461,2,vue
55,haishangfeie,shopping-platform-vue,haishangfeie/shopping-platform-vue,https://github.com/haishangfeie/shopping-platform-vue.git,0,0,0,35,729,2,vue
56,marluanespiritusanto,vue-fire-shop,marluanespiritusanto/vue-fire-shop,https://github.com/marluanespiritusanto/vue-fire-shop.git,0,0,0,28,252,2,vue
57,wangshiz,fuji-portal,wangshiz/fuji-portal,https://github.com/wangshiz/fuji-portal.git,1,0,0,29,9861,2,vue
