complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,open_issues,confirmed_issues,false_positive_issues,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,code_smells,sqale_rating,sqale_index,sqale_debt_ratio,alert_status,quality_gate_details,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,security_hotspots_reviewed,lines_to_cover,skipped_tests,tests,test_execution_time,test_errors,test_failures,test_success_density
74,1,0,0,0,0.0,36,36,0,0,0,18,13,5,0,36,1.0,137,0.8,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,134,,,,,,
240,25,0,0,0,0.0,53,53,0,0,0,9,31,13,0,39,1.0,109,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",14,3.0,15,0,1.0,0,0,1.0,,382,,,,,,
177,16,0,0,0,0.0,54,54,0,0,0,15,7,32,0,50,1.0,158,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,5,0,1.0,0,1,5.0,0.0,291,,,,,,
823,452,57,23,1313,11.0,115,115,0,0,0,22,28,65,0,34,1.0,216,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",81,3.0,311,0,1.0,0,0,1.0,,1327,,,,,,
525,102,6,6,262,2.4,114,114,0,0,0,17,55,32,10,66,1.0,239,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",48,4.0,82,0,1.0,0,0,1.0,,686,,,,,,
130,20,2,2,94,4.5,49,49,0,0,0,4,24,21,0,18,1.0,49,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",31,3.0,43,0,1.0,0,0,1.0,,163,,,,,,
91,18,0,0,0,0.0,37,37,0,0,0,2,21,14,0,23,1.0,97,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",14,3.0,27,0,1.0,0,0,1.0,,125,,,,,,
72,1,0,0,0,0.0,45,45,0,0,0,12,15,18,0,26,1.0,100,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",19,3.0,82,0,1.0,0,2,5.0,0.0,134,,,,,,
8,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,17,,,,,,
42241,86874,4638,306,151032,33.5,7666,7666,0,0,30,635,5841,967,193,5718,1.0,99855,1.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1946,5.0,3767,2,4.0,20,34,5.0,0.0,73892,,,,,,
