blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
0,13,24,23,28,21,1.4,2.4,0,0.0,5,121,1661158781925,43830,0,0,0,0.0,0,0,52,93,0,36,0.0,1739,1461,css=26;js=53;ts=1137;web=245,156,1.0,12,19,36,3.0,21,0,6,0.0,1.0,0,5.0,0,6,
0,2,1,15,1,21,3.8,1.4,0,0.0,1,29,1661127170364,16110,0,0,0,0.0,0,0,69,15,0,17,0.0,1895,537,css=61;js=57;ts=82;web=337,41,1.0,15,1,17,3.0,10,0,0,,1.0,0,1.0,0,0,
