blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,1588407052000,30,0,0,0,0.0,0,0,1,0,0,0,0.0,2,1,js=1,1,1.0,0,0,0,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,1588407052000,30,0,0,0,0.0,0,0,1,0,0,0,0.0,2,1,js=1,1,1.0,0,0,0,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,0,29,52,960,36.1,2.9,0,0.0,0,81,1653407527000,51000,12,7,303,9.5,0,0,28,47,22,29,0.0,3202,1700,js=1700,211,1.0,7,0,29,1.0,0,0,0,,1.0,0,1.0,0,0,
1,8,48,83,1225,3674,20.4,6.7,0,0.0,22,2297,1643961375000,430680,95,28,1860,8.3,0,0,341,1457,4,91,0.0,22531,14356,js=14356,9066,1.0,38,26,91,3.0,40,0,2,0.0,1.0,0,5.0,0,2,
0,5,0,14,296,109,4.1,14.2,0,0.0,4,496,1627865508000,75930,6,2,99,3.2,0,0,36,351,2,19,0.0,3070,2531,css=93;js=2359;web=79,1139,1.0,9,4,19,3.0,11,0,1,0.0,1.0,0,5.0,0,1,
4,35,618,1475,6327,16621,11.2,9.6,0,0.0,135,14177,1657835945606,3953190,1307,208,23742,13.1,0,0,1631,9798,17,1513,0.0,181723,131773,css=1297;js=84317;ts=46159,35588,1.0,387,970,1513,5.0,209,0,104,0.0,4.0,30,5.0,0,104,
0,1,3,28,67,47,2.7,3.7,0,0.0,3,151,1651314105000,50910,0,0,0,0.0,0,0,60,105,0,29,0.0,2031,1697,css=428;js=1245;web=24,192,1.0,12,14,29,3.0,1,0,0,,1.0,0,1.0,0,0,
1921,16307,120,10948,6148,17322,1.6,6.4,0,0.0,242,5337,1652449238353,31832580,291,64,5716,0.5,0,0,2579,1209,4,27255,0.0,1113402,1061086,css=1009179;js=29;py=22807;ts=1692;web=24763;xml=2616,14055,1.0,23601,1487,27255,5.0,25954,0,52,0.0,1.0,0,5.0,0,52,
0,0,0,8,36,10,0.8,2.8,0,0.0,0,106,1477904714000,37980,0,0,0,0.0,0,0,41,83,2,8,0.0,1516,1266,css=87;js=1179,315,1.0,1,5,8,1.0,0,0,2,0.0,1.0,0,5.0,0,2,
0,1,3,9,3,26,11.8,1.4,0,0.0,2,20,1652448231353,5850,0,0,0,0.0,0,0,16,15,0,10,0.0,321,195,js=67;ts=112;web=16,43,1.0,8,0,10,3.0,0,0,0,,1.0,0,1.0,0,0,
2,9,2,10,252,195,4.8,7.0,0,0.0,1,300,1657839290000,116310,4,2,140,3.2,0,0,48,121,0,19,0.0,4378,3877,css=383;js=2686;py=453;web=355,707,1.0,9,7,19,5.0,15,0,15,0.0,1.0,0,5.0,0,15,
