blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
3,2,0,68,156,158,3.8,4.1,0,0.0,4,323,1659472724745,121080,15,5,583,12.7,0,0,80,190,0,70,0.0,4602,4036,css=64;js=3948;web=24,531,1.0,49,14,70,3.0,6,0,1,0.0,1.0,0,5.0,0,1,
0,0,21,38,78,116,2.8,4.2,0,0.0,3,365,1541390414000,118830,0,0,0,0.0,0,0,87,286,0,38,0.0,4446,3961,css=58;js=3903,758,1.0,11,24,38,1.0,0,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,6,37,26,2.0,2.8,0,0.0,0,99,1612494811000,38610,0,0,0,0.0,0,0,47,73,0,6,0.0,1463,1287,css=392;js=141;ts=737;web=17,143,1.0,5,1,6,1.0,0,0,0,,1.0,0,1.0,0,0,
1,23,0,57,57,93,7.9,4.3,0,0.0,1,137,1520785431000,32610,0,0,0,0.0,0,0,32,88,0,80,0.0,2319,1087,js=1076;web=11,275,1.0,42,36,80,5.0,158,0,1,0.0,1.0,0,5.0,0,1,
0,3,0,6,7,13,4.7,4.4,0,0.0,0,35,1542197988000,7890,0,0,0,0.0,0,0,8,27,0,9,0.0,572,263,js=251;web=12,53,1.0,6,3,9,3.0,15,0,0,,1.0,0,1.0,0,0,
28,272,0,1677,17,2363,5.4,1.7,0,0.0,0,164,1561573339000,1241670,684,35,5726,11.5,0,0,323,81,4,1949,0.0,49751,41389,css=26287;js=688;web=12575;xml=1839,165,1.0,1877,40,1949,5.0,336,0,49,0.0,1.0,0,5.0,0,49,
0,2,2,39,39,640,28.9,6.5,0,0.0,0,144,1618114330000,47190,0,0,0,0.0,0,0,29,121,0,41,0.0,2294,1573,css=224;js=1329;web=20,228,1.0,27,14,41,3.0,10,0,0,,1.0,0,1.0,0,0,
0,1,16,8,59,70,8.9,4.8,0,0.0,0,114,1510946909000,21540,0,0,0,0.0,0,0,26,70,0,9,0.0,894,718,css=106;js=594;web=18,156,1.0,7,2,9,3.0,10,0,1,0.0,1.0,0,5.0,0,1,
2,1,0,21,123,117,4.4,7.9,0,0.0,1,299,1628381748000,75930,2,1,38,1.3,0,0,42,190,0,22,0.0,2830,2531,css=57;js=2448;web=26,446,1.0,12,7,22,3.0,1,0,4,0.0,1.0,0,5.0,0,4,
0,3,0,3,7,14,5.7,4.0,0,0.0,0,24,1551674937000,6960,0,0,0,0.0,0,0,6,16,1,6,0.0,416,232,js=221;web=11,38,1.0,3,2,6,3.0,12,0,8,0.0,1.0,0,5.0,0,8,
0,5,0,46,91,90,6.2,4.0,0,0.0,3,161,1501078469000,40710,0,0,0,0.0,0,0,48,90,0,52,0.0,1902,1357,css=178;js=1167;web=12,376,1.0,8,41,52,3.0,18,0,1,0.0,4.0,10,5.0,0,1,
0,0,3,3,36,151,10.0,5.9,0,0.0,0,118,1531065341000,40680,0,0,0,0.0,0,0,21,83,0,3,0.0,1636,1356,css=53;ts=1282;web=21,237,1.0,3,0,3,1.0,0,0,3,0.0,1.0,0,5.0,0,3,
0,7,0,196,109,407,6.9,6.8,0,0.0,4,339,1659055448307,164430,12,5,507,7.7,0,0,69,233,1,203,0.0,6564,5481,css=1627;js=3833;web=21,590,1.0,73,125,203,3.0,15,0,1,0.0,1.0,0,5.0,0,1,
0,10,0,9,53,50,4.2,3.7,0,0.0,0,161,1611946970000,34590,0,0,0,0.0,0,0,44,125,3,19,0.0,2458,1153,js=1141;web=12,299,1.0,5,11,19,3.0,42,0,9,0.0,1.0,0,5.0,0,9,
5,18,27,204,327,269,4.0,8.5,0,0.0,8,708,1659049319167,195390,25,13,709,8.5,0,0,105,521,0,222,0.0,8381,6513,css=859;js=5613;web=41,1283,1.0,94,115,222,5.0,69,0,51,0.0,1.0,0,5.0,0,51,
14,196,0,402,4395,2561,7.2,49.1,0,0.0,19,3924,1659108312941,987690,38,18,13669,30.8,0,0,82,1784,8,598,0.0,44395,32923,css=16705;js=16218,8489,1.0,399,158,598,5.0,500,0,8,0.0,1.0,0,5.0,0,8,
0,31,9,82,63,98,0.7,3.4,0,0.0,4,202,1659057516785,439350,10,2,480,2.9,0,0,85,157,0,113,0.0,16302,14645,css=11579;js=3047;web=19,218,1.0,65,44,113,4.0,43,0,2,0.0,1.0,0,5.0,0,2,
0,0,0,5,5,5,0.8,2.2,0,0.0,0,29,1626350206000,17790,0,0,0,0.0,0,0,14,24,0,5,0.0,656,593,css=147;js=403;web=43,47,1.0,2,3,5,1.0,0,0,0,,1.0,0,1.0,0,0,
24,978,0,5280,24003,2824,6.2,133.4,0,0.0,296,10938,1659054579437,1274580,10,5,5131,9.6,0,0,120,2777,0,6260,0.0,53407,42486,css=22794;js=19416;web=276,10418,1.0,5751,189,6260,5.0,6213,0,49,0.0,4.0,20,5.0,0,49,
20,910,0,1260,25282,5264,5.9,132.9,0,0.0,178,9701,1585474048000,2528040,533,31,33222,34.3,0,0,85,3565,17,2170,0.0,96923,84268,css=12865;js=61576;web=9827,14844,1.0,1083,872,2170,5.0,2790,0,31,0.0,1.0,0,5.0,0,31,
0,9,3,805,8212,7092,34.0,429.7,0,0.0,39,4297,1529560425000,413370,20,2,2038,8.6,0,0,13,1245,50,814,0.0,23747,13779,css=230;js=13384;web=165,7459,1.0,627,98,814,3.0,48,0,4,0.0,1.0,0,5.0,0,4,
0,3,0,2,6,5,2.1,1.3,0,0.0,0,14,1581109967000,6840,0,0,0,0.0,0,0,12,6,0,5,0.0,665,228,css=19;js=191;web=18,24,1.0,2,3,5,2.0,15,0,0,,1.0,0,1.0,0,0,
0,1,0,83,266,67,1.7,8.2,0,0.0,3,450,1587769281000,115110,4,3,130,3.1,0,0,56,280,0,84,0.0,4207,3837,css=120;js=3679;ts=12;web=26,1073,1.0,44,37,84,4.0,10,0,4,0.0,1.0,0,5.0,0,4,
0,0,0,9,25,8,2.5,6.0,0,0.0,0,54,1649746195000,9360,0,0,0,0.0,0,0,9,32,0,9,0.0,800,312,js=291;web=21,93,1.0,9,0,9,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,0,13,70,2,0.2,4.2,0,0.0,0,122,1611744925000,30720,2,2,31,2.7,0,0,30,67,0,13,0.0,1149,1024,css=17;js=981;web=26,183,1.0,13,0,13,1.0,0,0,1,0.0,1.0,0,5.0,0,1,
0,4,7,6,42,48,6.0,6.9,0,0.0,1,76,1542236446000,22470,0,0,0,0.0,0,0,19,53,0,10,0.0,872,749,css=216;js=516;web=17,133,1.0,4,5,10,3.0,4,0,0,,1.0,0,1.0,0,0,
8,10,3,31,11,44,3.4,3.8,0,0.0,0,80,1531062090000,37650,2,1,53,3.6,0,0,22,63,0,41,0.0,1463,1255,css=500;js=738;web=17,147,1.0,24,9,41,5.0,42,0,0,,1.0,0,1.0,0,0,
0,2,0,1,14,35,6.8,1.9,0,0.0,0,42,1659517856422,14280,0,0,0,0.0,0,0,22,31,0,3,0.0,979,476,js=460;web=16,72,1.0,2,1,3,3.0,0,0,0,,1.0,0,1.0,0,0,
32,1514,90,4828,5947,8510,9.3,17.5,0,0.0,152,4744,1659466192402,2499450,1760,125,41465,29.8,0,0,417,1309,4,6342,0.0,139072,83315,css=3685;js=2888;py=19386;ruby=4;web=55513;xml=1839,13841,1.0,5431,723,6342,5.0,1913,0,104,0.0,1.0,0,5.0,0,104,
0,8,7,4,75,99,9.4,4.3,0,0.0,1,130,1480451150000,28650,4,2,66,4.2,0,0,36,82,0,12,0.0,1558,955,css=173;js=393;ts=379;web=10,258,1.0,9,2,12,3.0,15,0,4,0.0,1.0,0,5.0,0,4,
2,15,0,24,22,27,5.0,4.5,0,0.0,0,67,1533339157000,15330,2,2,51,3.6,0,0,15,50,0,39,0.0,1425,511,js=493;web=18,129,1.0,25,12,39,5.0,59,0,0,,1.0,0,1.0,0,0,
0,2,0,8,4,2,0.6,2.4,0,0.0,0,33,1523029482000,10740,0,0,0,0.0,0,0,14,28,0,10,0.0,603,358,js=342;web=16,52,1.0,3,7,10,3.0,7,0,0,,1.0,0,1.0,0,0,
0,1,4,30,80,150,5.7,3.0,0,0.0,2,203,1659467911875,74340,0,0,0,0.0,0,0,87,142,0,32,0.0,3075,2478,css=440;js=2018;web=20,349,1.0,18,12,32,3.0,1,0,0,,4.0,10,1.0,0,0,
0,3,6,40,79,46,1.3,3.1,0,0.0,1,250,1659457348995,101520,19,5,808,20.4,0,0,101,190,0,43,0.0,3970,3384,css=455;js=2905;web=24,396,1.0,23,19,43,3.0,3,0,0,,1.0,0,1.0,0,0,
0,0,0,3,10,18,4.9,2.5,0,0.0,2,45,1612207562000,10440,0,0,0,0.0,0,0,20,38,0,3,0.0,588,348,css=15;js=317;web=16,64,1.0,1,0,3,1.0,0,0,0,,1.0,0,1.0,0,0,
4,18,7,43,249,175,4.6,8.1,0,0.0,3,635,1655134467000,108630,6,5,117,1.4,0,0,83,483,0,61,0.0,8570,3621,css=306;js=3277;web=38,844,1.0,36,18,61,5.0,92,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,6,0,1,0.3,0.2,0,0.0,0,3,1601762388000,9000,0,0,0,0.0,0,0,22,2,0,6,0.0,582,300,css=36;js=161;ts=87;web=16,21,1.0,6,0,6,1.0,0,0,0,,1.0,0,1.0,0,0,
0,2,3,18,61,45,2.6,3.7,0,0.0,1,149,1575154624000,51330,0,0,0,0.0,0,0,60,107,0,20,0.0,1982,1711,css=443;js=1250;web=18,200,1.0,13,6,20,3.0,2,0,0,,1.0,0,1.0,0,0,
4,16,26,162,454,338,1.8,6.8,0,0.0,13,1262,1585480428000,542760,415,43,5132,26.0,0,0,186,881,7,178,0.0,19768,18092,css=491;js=1250;ts=16351,1629,1.0,105,49,178,3.0,32,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,6,0,5,3.8,0.7,0,0.0,1,9,1569269783000,3840,0,0,0,0.0,0,0,13,8,0,6,0.0,314,128,js=112;web=16,5,1.0,5,0,6,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,3,26,68,61,3.3,3.5,0,0.0,1,159,1602698882000,53760,0,0,0,0.0,0,0,65,112,0,26,0.0,2172,1792,css=396;js=1373;web=23,217,1.0,11,14,26,1.0,0,0,0,,1.0,0,1.0,0,0,
17,1,2,263,624,495,3.6,5.4,0,0.0,23,1492,1659052916308,400470,19,6,380,2.5,0,0,284,1038,0,265,0.0,15404,13349,css=154;js=13160;web=35,2646,1.0,202,23,265,4.0,10,0,5,0.0,4.0,10,5.0,0,5,
0,0,2,3,37,48,8.5,5.8,0,0.0,1,58,1603586036000,15450,0,0,0,0.0,0,0,17,39,0,3,0.0,651,515,css=148;js=347;web=20,71,1.0,2,0,3,1.0,0,0,0,,1.0,0,1.0,0,0,
1,122,0,61,93,26,1.0,8.7,0,0.0,23,433,1591779539000,75990,17,10,336,6.7,0,0,50,363,0,183,0.0,4980,2533,js=2533,955,1.0,22,137,183,5.0,732,0,3,0.0,1.0,0,5.0,0,3,
13,42,0,73,402,231,2.3,13.6,0,0.0,8,722,1659528772093,290400,924,14,5892,44.6,0,0,69,473,0,115,0.0,13216,9680,css=695;js=8936;web=49,1282,1.0,75,19,115,5.0,126,0,16,0.0,1.0,0,5.0,0,16,
2,285,0,316,104,857,2.6,8.2,0,0.0,12,401,1550951409000,976770,25,14,541,1.3,0,0,58,323,0,601,0.0,42139,32559,css=30214;js=2293;web=52,629,1.0,389,198,601,5.0,601,0,4,0.0,1.0,0,5.0,0,4,
3,12,0,61,232,212,6.1,9.1,0,0.0,5,210,1659368796134,98160,4,1,140,3.5,0,0,27,112,4,73,0.0,3955,3272,css=125;js=1244;ruby=6;web=58;xml=1839,452,1.0,59,2,73,3.0,17,0,11,0.0,1.0,0,5.0,0,11,
0,8,0,12,40,38,4.0,4.3,0,0.0,1,73,1600420104000,27240,0,0,0,0.0,0,0,29,46,0,20,0.0,1117,908,css=524;js=364;web=20,95,1.0,13,6,20,3.0,8,0,0,,1.0,0,1.0,0,0,
0,0,0,4,6,14,3.9,1.0,0,0.0,0,23,1659458744563,10230,0,0,0,0.0,0,0,23,18,2,4,0.0,423,341,css=16;js=324;web=1,54,1.0,1,1,4,1.0,0,0,0,,1.0,0,1.0,0,0,
0,3,0,6,19,59,6.3,2.1,0,0.0,0,72,1659519708605,26250,0,0,0,0.0,0,0,40,53,0,9,0.0,3334,875,css=223;js=636;web=16,107,1.0,6,3,9,2.0,12,0,7,0.0,1.0,0,5.0,0,7,
0,0,2,1,42,41,7.0,6.7,0,0.0,0,80,1536583165000,16320,0,0,0,0.0,0,0,17,50,0,1,0.0,670,544,css=167;js=360;web=17,93,1.0,0,1,1,1.0,0,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,6,30,10,0.4,4.6,0,0.0,0,147,1585475942000,66810,19,7,311,10.8,0,0,49,115,0,6,0.0,2867,2227,css=1095;ts=1111;web=21,432,1.0,4,2,6,1.0,0,0,0,,1.0,0,1.0,0,0,
0,25,47,19,75,82,4.8,2.7,0,0.0,3,176,1659534110243,48960,0,0,0,0.0,0,0,65,124,0,44,0.0,2713,1632,js=851;py=763;web=18,695,1.0,25,16,44,3.0,47,0,4,0.0,1.0,0,5.0,0,4,
46,414,297,2080,51619,20724,17.7,59.2,0,0.0,370,20204,1659107801717,2889570,173,31,30942,23.0,0,0,387,6496,58,2494,0.0,134371,96319,css=17004;js=61334;jsp=19;php=413;py=11651;web=5898,38643,1.0,1504,516,2494,5.0,1574,0,58,0.0,1.0,0,5.0,0,58,
18,429,12,3791,61655,8537,12.4,239.8,0,0.0,355,13909,1584857620000,1809750,72,32,51910,65.0,0,0,61,4410,36,4220,0.0,79918,60325,css=19488;js=40805;web=32,22447,1.0,3653,158,4220,5.0,3603,0,19,0.0,1.0,0,5.0,0,19,
0,26,0,10,28,1,0.1,4.4,0,0.0,0,111,1603214419000,22800,0,0,0,0.0,0,0,27,91,0,36,0.0,3655,760,css=18;js=723;web=19,158,1.0,12,24,36,3.0,58,0,0,,1.0,0,1.0,0,0,
0,1,0,23,7,3,0.9,1.8,0,0.0,0,32,1597055647000,9510,0,0,0,0.0,0,0,18,25,0,24,0.0,553,317,js=300;web=17,54,1.0,23,1,24,2.0,5,0,0,,1.0,0,1.0,0,0,
0,0,5,2,26,0,0.0,2.7,0,0.0,0,40,1629989659000,9900,0,0,0,0.0,0,0,15,20,0,2,0.0,406,330,js=330,203,1.0,1,1,2,1.0,0,0,2,0.0,1.0,0,5.0,0,2,
